# Forces            
# CofR              : (1.500000000000e+00 0.000000000000e+00 5.000000000000e-01)
# Time              forces(pressure viscous)	moments(pressure viscous)
0                   	((0.000000000000e+00 0.000000000000e+00 0.000000000000e+00) (-9.116703626882e-04 -2.559905285299e-28 -1.710627112160e-17)) ((0.000000000000e+00 0.000000000000e+00 0.000000000000e+00) (-5.123640672090e-18 4.102477389206e-04 2.740672600954e-04))
0.00667             	((2.399778648678e-05 -3.598937253692e-07 2.489788397081e+00) (-1.057339520844e-03 2.134142028584e-05 7.273079125827e-05)) ((7.488136170007e-01 3.109454852261e+00 -6.767963086821e-06) (3.155054382900e-05 5.685163025651e-04 2.947031624731e-04))
0.01334             	((-1.142087821541e-04 4.629949619896e-07 -1.257719906230e+00) (-7.807322469947e-04 -7.181111949624e-06 1.021623160983e-04)) ((-3.782733785969e-01 -1.572668045278e+00 3.377063866683e-05) (2.756607575667e-05 4.798986730429e-04 2.450787733754e-04))
0.02001             	((3.576601260729e-05 -5.312589538150e-08 1.105330933000e-01) (-7.054795785007e-04 9.215429583082e-07 1.086596309608e-04)) ((3.325723262233e-02 1.390248838985e-01 -1.069446936122e-05) (3.317965761567e-05 4.546438134681e-04 2.124683784144e-04))
0.02668             	((5.856720948997e-05 -5.162821181164e-08 8.179780778429e-02) (-7.030891574111e-04 -3.129270574059e-06 1.291628358851e-04)) ((2.460310782809e-02 1.026836383058e-01 -1.755100822987e-05) (3.754429187962e-05 4.797160284556e-04 2.167246404323e-04))
0.03335             	((-1.523004075551e-04 9.772658996295e-08 -1.215942635865e-01) (-6.609273766114e-04 -5.773785814148e-06 1.451105118793e-04)) ((-3.656371259766e-02 -1.521929229852e-01 4.567481122101e-05) (4.116702214728e-05 4.811697474577e-04 2.071315835584e-04))
0.04002             	((-1.846422815814e-05 8.967999684553e-09 -9.517344319847e-03) (-6.292180866900e-04 -3.450426173014e-06 1.567844685783e-04)) ((-2.855147260248e-03 -1.159016232133e-02 5.528238560777e-06) (4.574365242312e-05 4.821309946507e-04 1.945947649053e-04))
0.04669             	((-5.985789192178e-05 2.366303186602e-08 -2.155899064305e-02) (-6.010665743532e-04 -4.124102490312e-07 1.682440987648e-04)) ((-6.476742646921e-03 -2.676001806244e-02 1.795311035699e-05) (5.058478737431e-05 4.845128062451e-04 1.822344384150e-04))
0.05336             	((-1.102579446598e-04 3.635119526405e-08 -2.933932402967e-02) (-5.712664380947e-04 4.260245145825e-06 1.777871072729e-04)) ((-8.816180379245e-03 -3.657145739336e-02 3.308612397435e-05) (5.559501597708e-05 4.838079571139e-04 1.673311383849e-04))
0.06003             	((-8.672103862273e-05 2.443349024811e-08 -1.775699236747e-02) (-5.430076803933e-04 9.909246657220e-06 1.854492477655e-04)) ((-5.332465638037e-03 -2.202059387136e-02 2.601222712842e-05) (6.049065767045e-05 4.814956832193e-04 1.516741139272e-04))
0.0667              	((-1.029406854721e-04 2.517178689696e-08 -1.673654052603e-02) (-5.154613255049e-04 1.511169304343e-05 1.925745175531e-04)) ((-5.025617237868e-03 -2.076758890973e-02 3.087960294158e-05) (6.503287901284e-05 4.788741853501e-04 1.367731884090e-04))
0.07337             	((-9.541962904070e-05 2.049826246176e-08 -1.262774391271e-02) (-4.885549428378e-04 1.967134060950e-05 1.983645171879e-04)) ((-3.789820598611e-03 -1.560864708923e-02 2.861186669595e-05) (6.889117264665e-05 4.748909103540e-04 1.228507335959e-04))
0.08337             	((-5.764540712716e-05 1.036928972566e-08 -5.813394531409e-03) (-4.576212818432e-04 2.229221951695e-05 2.092599567950e-04)) ((-1.740545051658e-03 -7.035331678789e-03 1.724663209898e-05) (7.343183498467e-05 4.760718443535e-04 1.101054949590e-04))
0.09337             	((4.098586185284e-06 -6.280963437257e-10 3.260797667393e-04) (-4.272221891284e-04 2.449905863923e-05 2.177817090695e-04)) ((1.062000745523e-04 7.154989421901e-04 -1.333479707739e-06) (7.707907681114e-05 4.745555146775e-04 9.804308032427e-05))
0.10337             	((1.083777046671e-04 -1.434644732995e-08 6.989752385061e-03) (-3.993265910149e-04 2.701525384278e-05 2.241809227802e-04)) ((2.110558048567e-03 9.154216710342e-03 -3.270589482781e-05) (8.024226928264e-05 4.715368169764e-04 8.634635069333e-05))
0.11337             	((2.475433212986e-04 -2.854892195365e-08 1.323029934745e-02) (-3.739272191971e-04 2.954903901532e-05 2.289398046433e-04)) ((3.987596340159e-03 1.707961183237e-02 -7.457240472198e-05) (8.293455537311e-05 4.676055918555e-04 7.538106860199e-05))
0.12337             	((4.538993030900e-04 -4.596848957458e-08 2.047372126830e-02) (-3.508570364490e-04 3.148552058715e-05 2.313733052716e-04)) ((6.166149840217e-03 2.630484482159e-02 -1.366435483111e-04) (8.466325142098e-05 4.617790378926e-04 6.586835240675e-05))
0.13337             	((7.024061023936e-04 -6.265910545679e-08 2.715474787665e-02) (-3.298572846509e-04 3.291196838514e-05 2.315794648497e-04)) ((8.175435884388e-03 3.483737074222e-02 -2.113918789636e-04) (8.549614556524e-05 4.540370182229e-04 5.762125608807e-05))
0.14337             	((1.017682548410e-03 -8.018032764049e-08 3.417011947295e-02) (-3.104571407350e-04 3.456217724688e-05 2.290200152944e-04)) ((1.028516927471e-02 4.382024622139e-02 -3.062185300490e-04) (8.561483101284e-05 4.434400249231e-04 4.956321347250e-05))
0.15337             	((1.389521059331e-03 -9.663922183705e-08 4.099110141315e-02) (-2.922815383587e-04 3.692705703739e-05 2.235691224446e-04)) ((1.233631556314e-02 5.257603539428e-02 -4.180538890541e-04) (8.521816310307e-05 4.296186362250e-04 4.094496140839e-05))
0.16337             	((1.818518703860e-03 -1.113002651120e-07 4.761635946033e-02) (-2.748878617849e-04 4.008539581636e-05 2.154606711008e-04)) ((1.432849994070e-02 6.110211719179e-02 -5.470776168905e-04) (8.442221683315e-05 4.126327043258e-04 3.152449555021e-05))
0.17337             	((2.308546590941e-03 -1.237602672302e-07 5.414213930467e-02) (-2.581236411896e-04 4.428931151533e-05 2.046928072034e-04)) ((1.629077775011e-02 6.952168652995e-02 -6.944575131157e-04) (8.335746540001e-05 3.923736527942e-04 2.092752915198e-05))
0.18337             	((2.848525359734e-03 -1.325882628877e-07 6.032953599876e-02) (-2.421067250408e-04 4.934464823059e-05 1.919959800925e-04)) ((1.815123902134e-02 7.752452158317e-02 -8.568603249706e-04) (8.216174530615e-05 3.698066597465e-04 9.426677906537e-06))
0.19337             	((3.448982754609e-03 -1.376830962020e-07 6.645794003901e-02) (-2.271790817732e-04 5.486494653422e-05 1.782109583478e-04)) ((1.999386968400e-02 8.546702450791e-02 -1.037449315055e-03) (8.090915125496e-05 3.461576441148e-04 -2.387546641684e-06))
0.20337             	((4.097921316650e-03 -1.377262765113e-07 7.233213939046e-02) (-2.139341460162e-04 6.009607077585e-05 1.641441621323e-04)) ((2.175996405142e-02 9.309663722953e-02 -1.232616640873e-03) (7.947741887394e-05 3.227613200908e-04 -1.336215645476e-05))
0.21337             	((4.793074450305e-03 -1.319497874784e-07 7.798965242673e-02) (-2.029537557944e-04 6.519963370001e-05 1.503308286161e-04)) ((2.346087377922e-02 1.004606575401e-01 -1.441684318778e-03) (7.810555209566e-05 3.006254397112e-04 -2.354714980185e-05))
0.22337             	((5.531960913732e-03 -1.196835242284e-07 8.346676100559e-02) (-1.944262892541e-04 6.991679419220e-05 1.372027202026e-04)) ((2.510757063500e-02 1.076033826393e-01 -1.663910511997e-03) (7.679516273109e-05 2.804430769072e-04 -3.253483078933e-05))
0.23337             	((6.308195632744e-03 -1.001405714225e-07 8.874651562404e-02) (-1.882174674899e-04 7.434229163061e-05 1.245636367037e-04)) ((2.669496376593e-02 1.145006632437e-01 -1.897376888530e-03) (7.553273107964e-05 2.619252600153e-04 -4.048051298305e-05))
0.24337             	((7.122810336051e-03 -7.271732143446e-08 9.392424354249e-02) (-1.842109785178e-04 7.865566658756e-05 1.122527545128e-04)) ((2.825171332569e-02 1.212732309094e-01 -2.142394438682e-03) (7.435968973385e-05 2.448342912918e-04 -4.765094364086e-05))
0.25337             	((7.968393121793e-03 -3.659563530991e-08 9.897727306643e-02) (-1.821918642607e-04 8.299738305936e-05 1.002525480873e-04)) ((2.977099418973e-02 1.278909402651e-01 -2.396735106259e-03) (7.334344075410e-05 2.290686045789e-04 -5.429156452211e-05))
0.26337             	((8.841549476154e-03 8.887235622255e-09 1.039435922533e-01) (-1.819825501536e-04 8.742811654867e-05 8.878931480626e-05)) ((3.126420719159e-02 1.344022873062e-01 -2.659377294834e-03) (7.258517332145e-05 2.148635838964e-04 -6.053858603352e-05))
0.27337             	((9.737375149971e-03 6.427574663376e-08 1.088443141246e-01) (-1.835313513041e-04 9.188237299331e-05 7.806839660585e-05)) ((3.273767604290e-02 1.408337300253e-01 -2.928844633961e-03) (7.211492637696e-05 2.024964809260e-04 -6.632311722161e-05))
0.28337             	((1.065288229352e-02 1.300017913973e-07 1.137242018061e-01) (-1.867763365353e-04 9.626669564146e-05 6.820445856558e-05)) ((3.420487654102e-02 1.472428358636e-01 -3.204240255822e-03) (7.192003150939e-05 1.921265077899e-04 -7.153914820305e-05))
0.29337             	((1.157802899425e-02 2.063949545516e-07 1.185548880024e-01) (-1.916799216533e-04 1.005053164186e-04 5.893986206921e-05)) ((3.565737797843e-02 1.535947116536e-01 -3.482554487830e-03) (7.188387621977e-05 1.834346277996e-04 -7.609068400058e-05))
0.30337             	((1.249567567422e-02 2.935294726937e-07 1.232484660637e-01) (-1.982646318458e-04 1.047573014198e-04 4.993285654965e-05)) ((3.706886913724e-02 1.597783887617e-01 -3.758646909049e-03) (7.198991886570e-05 1.760125889674e-04 -8.017252656413e-05))
0.31337             	((1.342183924326e-02 3.919319451974e-07 1.280499514600e-01) (-2.063813526372e-04 1.091692415270e-04 4.082417557617e-05)) ((3.851290675353e-02 1.661090757666e-01 -4.037324034841e-03) (7.221226416423e-05 1.693226835342e-04 -8.401890225471e-05))
0.32337             	((1.432452375266e-02 5.008421246176e-07 1.327339264073e-01) (-2.159882731907e-04 1.139219819666e-04 3.150845315253e-05)) ((3.992193819993e-02 1.723028030529e-01 -4.308989148289e-03) (7.262320928792e-05 1.632194844424e-04 -8.788297784700e-05))
0.33337             	((1.513700784777e-02 6.175174894049e-07 1.367898288487e-01) (-2.276065211457e-04 1.195064590889e-04 2.171632322773e-05)) ((4.114286003619e-02 1.777121564125e-01 -4.553624643402e-03) (7.342143142714e-05 1.576513956188e-04 -9.227134206371e-05))
0.34337             	((1.584909499649e-02 7.402400109415e-07 1.402507826041e-01) (-2.419229659200e-04 1.259010421068e-04 1.098708783225e-05)) ((4.218548943859e-02 1.823833099806e-01 -4.768150484382e-03) (7.447150860629e-05 1.524218035830e-04 -9.696075188282e-05))
0.35337             	((1.643351736096e-02 8.660206748489e-07 1.429878806753e-01) (-2.600323324682e-04 1.333992158132e-04 -1.911792446824e-06)) ((4.301103873191e-02 1.861533262699e-01 -4.944362144569e-03) (7.558951611388e-05 1.465558373849e-04 -1.020216124079e-04))
0.36337             	((1.686016297009e-02 9.912058606049e-07 1.448416515195e-01) (-2.813761845276e-04 1.401627470873e-04 -1.922894741840e-05)) ((4.357141215002e-02 1.888175784460e-01 -5.073183432168e-03) (7.506686950274e-05 1.367877588400e-04 -1.051644781796e-04))
0.37337             	((1.719861724010e-02 1.117887092578e-06 1.464894931495e-01) (-3.027037461747e-04 1.440224534510e-04 -4.058704934649e-05)) ((4.406891893675e-02 1.912374957602e-01 -5.175376299051e-03) (7.174160934413e-05 1.217798486789e-04 -1.044367235555e-04))
0.38337             	((1.752892826479e-02 1.250314934523e-06 1.486621175219e-01) (-3.239933913823e-04 1.417299578438e-04 -5.993264512415e-05)) ((4.472258497635e-02 1.943466106248e-01 -5.274928081263e-03) (6.545147222883e-05 1.096582129516e-04 -9.544889991898e-05))
0.39337             	((1.783483771332e-02 1.387240216710e-06 1.512654185811e-01) (-3.525541621184e-04 1.293125842962e-04 -6.725701797346e-05)) ((4.550589618802e-02 1.980338574228e-01 -5.367155306605e-03) (5.671372346973e-05 1.183022877519e-04 -7.060432245593e-05))
0.40337             	((1.810236382272e-02 1.527212160030e-06 1.542336444407e-01) (-3.862479583666e-04 1.182756912575e-04 -6.678184402943e-05)) ((4.639984903026e-02 2.022242723927e-01 -5.447940952701e-03) (5.100566144086e-05 1.409804286245e-04 -4.598651548094e-05))
0.41337             	((1.837218811679e-02 1.673576182884e-06 1.579767791111e-01) (-4.215570937291e-04 1.132082873779e-04 -6.723572058271e-05)) ((4.752659365972e-02 2.074445308289e-01 -5.529386650418e-03) (4.853273929767e-05 1.639064767967e-04 -2.887799489002e-05))
0.42337             	((1.855338768034e-02 1.818100791695e-06 1.617864248402e-01) (-4.613097798225e-04 1.124248542419e-04 -7.015345227740e-05)) ((4.867337462576e-02 2.127879212807e-01 -5.584169746764e-03) (4.791097110591e-05 1.867633054322e-04 -1.619097649567e-05))
0.43337             	((1.856420662148e-02 1.951169190907e-06 1.649987652926e-01) (-5.064338195852e-04 1.155781595525e-04 -7.483289139069e-05)) ((4.964064612230e-02 2.173977608993e-01 -5.587698729845e-03) (4.921590381485e-05 2.111515894897e-04 -7.205164766337e-06))
0.44337             	((1.841720749276e-02 2.071631474610e-06 1.677395924434e-01) (-5.522696102028e-04 1.207352851987e-04 -8.230075033403e-05)) ((5.046612737910e-02 2.214387117678e-01 -5.543735174006e-03) (5.100142624901e-05 2.328426064438e-04 -7.144805741709e-07))
0.45337             	((1.818324634268e-02 2.185382536406e-06 1.706723265354e-01) (-5.959504117574e-04 1.249940678481e-04 -9.196097712505e-05)) ((5.134864190069e-02 2.257599939908e-01 -5.473519907731e-03) (5.164154101205e-05 2.508397385676e-04 6.365266594924e-06))
0.46337             	((1.781035837350e-02 2.285129325768e-06 1.733408903471e-01) (-6.349988671355e-04 1.270238425245e-04 -1.025891106631e-04)) ((5.215126194195e-02 2.297758156821e-01 -5.361445475502e-03) (5.062400939614e-05 2.651632584003e-04 1.510881519222e-05))
0.47337             	((1.726632529936e-02 2.364974331481e-06 1.754081070416e-01) (-6.703355213275e-04 1.270097367017e-04 -1.130454259724e-04)) ((5.277277312563e-02 2.330433723043e-01 -5.197838484816e-03) (4.835996863924e-05 2.778460581652e-04 2.556014398535e-05))
0.48337             	((1.660032545803e-02 2.429295155620e-06 1.773196583702e-01) (-7.059121176974e-04 1.273331872134e-04 -1.215840788164e-04)) ((5.334739343240e-02 2.361418610627e-01 -4.997515558843e-03) (4.689246355072e-05 2.937837851287e-04 3.566996650430e-05))
0.49337             	((1.580675604772e-02 2.476058090020e-06 1.789790555937e-01) (-7.464012067091e-04 1.296525925407e-04 -1.287940516719e-04)) ((5.384576779407e-02 2.389366487228e-01 -4.758760928308e-03) (4.715428647805e-05 3.152663538310e-04 4.458374057674e-05))
0.50337             	((1.487101660819e-02 2.500991772197e-06 1.801395948657e-01) (-7.935676687000e-04 1.345698393129e-04 -1.372715875617e-04)) ((5.419425581719e-02 2.410996572875e-01 -4.477231489205e-03) (4.881395055677e-05 3.400351422751e-04 5.200254820291e-05))
0.51337             	((1.376282713552e-02 2.495627066273e-06 1.802512123857e-01) (-8.454265303559e-04 1.411519538316e-04 -1.494781533675e-04)) ((5.422750336047e-02 2.418983711184e-01 -4.143813697435e-03) (5.054492296192e-05 3.635112591362e-04 5.857878173236e-05))
