# Forces            
# CofR              : (1.500000000000e+00 0.000000000000e+00 5.000000000000e-01)
# Time              forces(pressure viscous)	moments(pressure viscous)
0                   	((0.000000000000e+00 0.000000000000e+00 0.000000000000e+00) (-1.048524186322e-01 0.000000000000e+00 0.000000000000e+00)) ((0.000000000000e+00 0.000000000000e+00 0.000000000000e+00) (0.000000000000e+00 -5.766928158537e-02 4.633067573936e-06))
0.00667             	((8.138251810407e-03 -1.220496750207e-04 8.443497510420e+02) (-5.026843838697e-02 -3.311772420401e-05 7.421322104796e-03)) ((-2.420063332092e-03 1.108182378465e+03 1.602096690989e-04) (3.096817818529e-05 -1.852989011517e-02 5.152005348948e-05))
0.01334             	((-3.735520128689e-02 1.514358811876e-04 -4.113727456123e+02) (-3.741889422984e-02 -3.133556491403e-05 1.924990982196e-03)) ((3.424885412036e-03 -5.403245059800e+02 -1.992170260352e-04) (2.066049117746e-05 -1.830352049809e-02 4.725074407024e-05))
0.02001             	((2.376933331789e-02 -3.530639803305e-05 7.345794921895e+01) (-3.267420773184e-02 -2.613549205701e-05 1.022084160131e-03)) ((-2.276310919632e-03 9.659728446045e+01 4.716451526507e-05) (1.683149411672e-05 -1.679637204761e-02 4.039400817942e-05))
0.02668             	((3.232013032393e-02 -2.849090209334e-05 4.513986292059e+01) (-3.245692611544e-02 -1.872937566716e-05 1.326390971479e-03)) ((6.698009633159e-04 5.944855843294e+01 3.704253613801e-05) (1.297249522826e-05 -1.626196471574e-02 3.066056649906e-05))
0.03335             	((-1.859314190137e-02 1.193067160181e-05 -1.484447371898e+01) (-3.134767451074e-02 -1.091849904051e-05 1.572075247619e-03)) ((5.487892411466e-04 -1.956683174089e+01 -1.641345895008e-05) (8.185144646712e-06 -1.528039942173e-02 2.025216712495e-05))
0.04002             	((3.867380851417e-02 -1.878372178250e-05 1.993432645166e+01) (-3.007814142210e-02 -5.599172550235e-06 1.890600758293e-03)) ((1.419773193641e-04 2.626476120051e+01 2.447332066147e-05) (5.272336012464e-06 -1.413796663194e-02 1.315326393278e-05))
0.04669             	((4.163159523725e-02 -1.645781843155e-05 1.499443337150e+01) (-2.894718122523e-02 2.622913170772e-07 2.204485047845e-03)) ((7.167911824818e-05 1.977480615595e+01 2.150571783575e-05) (1.884875281211e-06 -1.307602471881e-02 5.475635114734e-06))
0.05336             	((4.178195519387e-02 -1.377519577253e-05 1.111805889195e+01) (-2.776497953374e-02 5.709062374405e-06 2.454541186808e-03)) ((-9.974008398289e-05 1.466221371497e+01 1.854120418885e-05) (-1.372390771820e-06 -1.206585871195e-02 -1.679668801274e-06))
0.06003             	((6.519772590402e-02 -1.836934284922e-05 1.334988071684e+01) (-2.664366447903e-02 1.169948624752e-05 2.645528461514e-03)) ((1.130683550876e-05 1.762151578220e+01 2.419186296981e-05) (-4.753598036436e-06 -1.116925390701e-02 -9.705699605980e-06))
0.0667              	((7.862214678146e-02 -1.922524934203e-05 1.278272764373e+01) (-2.557747256144e-02 1.671282163179e-05 2.812705640664e-03)) ((-1.367021573569e-04 1.688329247453e+01 2.623331529558e-05) (-7.627400140743e-06 -1.033488206626e-02 -1.636283380201e-05))
0.07337             	((9.099765625887e-02 -1.954832499030e-05 1.204254419600e+01) (-2.456773769694e-02 2.246039436631e-05 2.933102683898e-03)) ((-6.782178951598e-05 1.591004477598e+01 2.633881550477e-05) (-1.096589410729e-05 -9.594456155050e-03 -2.393118948517e-05))
0.08337             	((1.173419052223e-01 -2.110751743105e-05 1.183363643541e+01) (-2.290164259559e-02 2.919194853701e-05 3.166871383492e-03)) ((-1.172845570643e-04 1.564739678643e+01 2.907306605880e-05) (-1.471888927520e-05 -8.333310186989e-03 -3.286248712513e-05))
