# Forces            
# CofR              : (1.500000000000e+00 0.000000000000e+00 5.000000000000e-01)
# Time              forces(pressure viscous)	moments(pressure viscous)
0                   	((0.000000000000e+00 0.000000000000e+00 0.000000000000e+00) (-2.197922281420e-01 6.860071833525e-14 -3.263633691189e-14)) ((0.000000000000e+00 0.000000000000e+00 0.000000000000e+00) (-4.338201981772e-14 -1.407362572587e-01 9.218788537373e-07))
0.00667             	((-1.505029257730e+03 -1.050852357053e-04 1.450620002856e-02) (-1.049050594505e-01 -2.159761512350e-05 -5.128975664598e-02)) ((6.672085527311e-05 -9.563994349715e+02 -5.972360182641e-03) (1.697638475180e-05 -1.332845974630e-01 1.261748840587e-05))
0.01334             	((7.340565345759e+02 1.135259556757e-04 -6.665689385681e-02) (-2.743393169948e-02 -2.186928809207e-05 -2.194752491321e-02)) ((-7.177206359949e-05 4.654901588461e+02 2.407295448178e-03) (1.645044403232e-05 -4.550773033732e-02 2.419660607728e-05))
0.02001             	((-1.417916969693e+02 -2.399683394835e-05 4.588059063324e-02) (-1.744754399607e-02 9.632374756274e-06 -1.414857078215e-02)) ((1.562207909217e-05 -9.042632604497e+01 9.837463299081e-04) (-4.866123492831e-06 -2.914516566358e-02 -1.555186554235e-05))
0.02668             	((-8.649131311462e+01 -1.888480113637e-05 6.192775799543e-02) (-1.808682144359e-02 1.333593558652e-05 -9.921043813601e-03)) ((1.306362856460e-05 -5.528589481084e+01 1.385918020692e-03) (-7.014199633062e-06 -2.425920864322e-02 -2.215775210142e-05))
0.03335             	((2.194139940423e+01 6.335089351272e-06 -2.748225101343e-02) (-1.270336204782e-02 -6.195581063705e-05 -3.819459785876e-03)) ((-3.312285789993e-06 1.344634277974e+01 4.551140847730e-04) (3.706397179124e-05 -1.302166864261e-02 7.811292225797e-05))
0.04002             	((-4.293053837332e+01 -1.487119629171e-05 8.328786142911e-02) (-1.124630903638e-02 -1.499834529793e-04 -5.753602732515e-04)) ((9.144933668263e-06 -2.749713702751e+01 -1.959292921822e-04) (9.059967661830e-05 -7.984042205926e-03 1.950730460178e-04))
0.04669             	((-3.250246245405e+01 -1.320943414170e-05 9.024211363748e-02) (-1.002348734381e-02 -1.558560114524e-04 1.876100676496e-03)) ((6.081576306537e-06 -2.082082212766e+01 -8.573067249897e-04) (9.514063444886e-05 -4.098820008788e-03 2.055100129837e-04))
0.05336             	((-2.558618292194e+01 -1.178532363166e-05 9.615354246925e-02) (-8.564121919600e-03 -1.061299430829e-04 4.093235390101e-03)) ((2.187009757569e-06 -1.638632817533e+01 -1.426479104814e-03) (6.621635391374e-05 -3.595007435135e-04 1.433710678139e-04))
0.06003             	((-2.981917003480e+01 -1.524909296125e-05 1.456299209739e-01) (-7.715960915192e-03 -4.741129641207e-05 5.885860150674e-03)) ((4.483640393668e-06 -1.894922969312e+01 -1.066128432683e-03) (3.153259619136e-05 2.441398636104e-03 6.840875252886e-05))
0.0667              	((-2.842441228297e+01 -1.563201827069e-05 1.748287514349e-01) (-7.140494988898e-03 -2.702765498117e-06 7.442051406496e-03)) ((2.574661794721e-06 -1.797744307490e+01 -1.188823521544e-03) (5.313646541209e-06 4.768979192324e-03 1.074275826350e-05))
0.07337             	((-2.734698240481e+01 -1.603859289289e-05 2.066433191608e-01) (-6.763075385315e-03 2.640566235101e-05 8.774767602928e-03)) ((2.516599917401e-06 -1.720527085303e+01 -1.002340552299e-03) (-1.160420193611e-05 6.688143085116e-03 -2.677433581426e-05))
