# Forces            
# CofR              : (1.500000000000e+00 0.000000000000e+00 5.000000000000e-01)
# Time              forces(pressure viscous)	moments(pressure viscous)
0                   	((0.000000000000e+00 0.000000000000e+00 0.000000000000e+00) (-3.975218811670e-01 2.653012250655e-28 3.917113278820e-15)) ((0.000000000000e+00 0.000000000000e+00 0.000000000000e+00) (-7.030535233875e-16 1.788831353905e-01 -8.324463470836e-02))
0.00667             	((2.341235522462e-02 -3.511161896119e-04 2.429049484581e+03) (-3.925521204719e-01 1.289656231478e-01 4.446679120123e-02)) ((-4.699961173199e+02 3.027442188116e+03 4.967663300793e-03) (4.718652801354e-02 2.245689152467e-01 -2.339692080775e-01))
0.01334             	((-1.118484537009e-01 4.534274277482e-04 -1.231726879317e+03) (-3.000819595360e-01 9.308125367387e-02 2.308737400423e-02)) ((2.368751029892e+02 -1.540182505919e+03 -2.207670826097e-02) (3.596793871067e-02 1.595490767213e-01 -1.723848685675e-01))
0.02001             	((5.523595646486e-02 -8.204618022774e-05 1.707039920372e+02) (-2.703875518046e-01 8.540676007174e-02 2.010337049018e-02)) ((-3.291867237096e+01 2.130530273833e+02 1.075413948413e-02) (3.313214921570e-02 1.426936680625e-01 -1.574629333391e-01))
0.02668             	((7.805828843783e-02 -6.881009954173e-05 1.090199948057e+02) (-2.706424387921e-01 8.638039024452e-02 2.215715087844e-02)) ((-2.165677147051e+01 1.345002711072e+02 1.559113531466e-02) (3.308549891888e-02 1.450904596505e-01 -1.591162852130e-01))
0.03335             	((-8.095112679600e-02 5.194395792445e-05 -6.463011365443e+01) (-2.567997495990e-01 7.874702006455e-02 2.144405774529e-02)) ((1.203734142774e+01 -8.257128559032e+01 -1.514348925359e-02) (2.991635871565e-02 1.384272937670e-01 -1.477996801040e-01))
0.04002             	((6.472894590072e-02 -3.143860753975e-05 3.336438763199e+01) (-2.461289423323e-01 7.339187496767e-02 2.101335350163e-02)) ((-7.010498009455e+00 3.985051918387e+01 1.363834386003e-02) (2.769586507584e-02 1.334275092345e-01 -1.398821632616e-01))
0.04669             	((6.584048230945e-02 -2.602808911861e-05 2.371373759562e+01) (-2.373678128722e-01 6.819915202921e-02 2.061841099602e-02)) ((-5.238288336852e+00 2.752292622974e+01 1.457415973946e-02) (2.553566659501e-02 1.293788007694e-01 -1.326690634171e-01))
0.05336             	((5.630526825670e-02 -1.856342623912e-05 1.498267100001e+01) (-2.284452904424e-01 6.186325578074e-02 1.976340285932e-02)) ((-3.632915605277e+00 1.630737088008e+01 1.367279628441e-02) (2.297830872694e-02 1.248185318836e-01 -1.242481414603e-01))
0.06003             	((1.146132021870e-01 -3.229206962565e-05 2.346818936645e+01) (-2.203236105826e-01 5.525017961855e-02 1.871886675598e-02)) ((-5.376018764521e+00 2.665815565086e+01 2.629191212785e-02) (2.033914045783e-02 1.204210328661e-01 -1.157585051805e-01))
0.0667              	((1.504076329274e-01 -3.677875442875e-05 2.445392152162e+01) (-2.127097469219e-01 4.870893449728e-02 1.790448497690e-02)) ((-5.654655975119e+00 2.762411936119e+01 3.482138438077e-02) (1.765895849622e-02 1.164910581670e-01 -1.074257780808e-01))
0.07337             	((1.893972980576e-01 -4.068676669409e-05 2.506466019276e+01) (-2.055372934305e-01 4.235981184067e-02 1.721409181404e-02)) ((-5.879786885696e+00 2.806508443182e+01 4.447527388187e-02) (1.501174570865e-02 1.128642710444e-01 -9.933125567154e-02))
0.08337             	((2.784160421974e-01 -5.008161516502e-05 2.807755860887e+01) (-1.969945041655e-01 3.376383102844e-02 1.688128244390e-02)) ((-6.616065692497e+00 3.137355116812e+01 6.566062558349e-02) (1.125440633868e-02 1.092136305273e-01 -8.856537169927e-02))
0.09337             	((3.922825518719e-01 -6.011749047210e-05 3.120964090243e+01) (-1.882889107946e-01 2.565418494472e-02 1.668757339443e-02)) ((-7.343960485036e+00 3.497299391974e+01 9.237562385058e-02) (7.633292563334e-03 1.056231440068e-01 -7.820141114764e-02))
0.10337             	((5.254281010912e-01 -6.955340638582e-05 3.388715727207e+01) (-1.804958829150e-01 1.797030639164e-02 1.662080883760e-02)) ((-7.987779970337e+00 3.798188640130e+01 1.239303078029e-01) (4.127949020722e-03 1.025774417087e-01 -6.842086864003e-02))
0.11337             	((6.921982648668e-01 -7.983061566335e-05 3.699550528779e+01) (-1.735624019374e-01 1.090996812805e-02 1.674853160093e-02)) ((-8.712948534631e+00 4.153632339674e+01 1.631118072542e-01) (8.142729229387e-04 1.001332896397e-01 -5.940158475854e-02))
0.12337             	((8.768261598491e-01 -8.880033292316e-05 3.955038986711e+01) (-1.674387169871e-01 4.427465527090e-03 1.678841359035e-02)) ((-9.332879493920e+00 4.439542780456e+01 2.070082050574e-01) (-2.248227203827e-03 9.797126994183e-02 -5.108127991402e-02))
