# time              
# Time              	cpu                 	clock               	cpu/step            	clock/step          
0                   	1.299041000000e+00	3	7.284250000000e-01	2.000000000000e+00
0.00667             	6.232825000000e+00	8	4.933794000000e+00	5.000000000000e+00
0.01334             	1.133879400000e+01	13	5.105977000000e+00	5.000000000000e+00
0.02001             	1.653037800000e+01	19	5.191592000000e+00	6.000000000000e+00
0.02668             	2.180778400000e+01	24	5.277414000000e+00	5.000000000000e+00
0.03335             	2.696301200000e+01	29	5.155234000000e+00	5.000000000000e+00
0.04002             	3.240156600000e+01	34	5.438560000000e+00	5.000000000000e+00
0.04669             	3.797997900000e+01	40	5.578420000000e+00	6.000000000000e+00
0.05336             	4.353372400000e+01	46	5.553753000000e+00	6.000000000000e+00
0.06003             	4.906688300000e+01	51	5.533165000000e+00	5.000000000000e+00
0.0667              	5.458338800000e+01	57	5.516512000000e+00	6.000000000000e+00
0.07337             	6.007062800000e+01	62	5.487246000000e+00	5.000000000000e+00
0.08337             	6.565978500000e+01	68	5.589165000000e+00	6.000000000000e+00
0.09337             	7.123442900000e+01	73	5.574650000000e+00	5.000000000000e+00
0.10337             	7.682621100000e+01	79	5.591790000000e+00	6.000000000000e+00
0.11337             	8.243939300000e+01	85	5.613190000000e+00	6.000000000000e+00
0.12337             	8.805578300000e+01	90	5.616398000000e+00	5.000000000000e+00
0.13337             	9.368348900000e+01	96	5.627714000000e+00	6.000000000000e+00
0.14337             	9.920554200000e+01	101	5.522060000000e+00	5.000000000000e+00
0.15337             	1.047339290000e+02	107	5.528397000000e+00	6.000000000000e+00
0.16337             	1.102192030000e+02	112	5.485282000000e+00	5.000000000000e+00
0.17337             	1.156513230000e+02	118	5.432128000000e+00	6.000000000000e+00
0.18337             	1.211527060000e+02	123	5.501390000000e+00	5.000000000000e+00
0.19337             	1.265543910000e+02	129	5.401693000000e+00	6.000000000000e+00
0.20337             	1.319869650000e+02	134	5.432580000000e+00	5.000000000000e+00
0.21337             	1.373953510000e+02	140	5.408393000000e+00	6.000000000000e+00
0.22337             	1.428200970000e+02	145	5.424753000000e+00	5.000000000000e+00
0.23337             	1.481368430000e+02	150	5.316754000000e+00	5.000000000000e+00
0.24337             	1.534190900000e+02	156	5.282254000000e+00	6.000000000000e+00
0.25337             	1.586666150000e+02	161	5.247532000000e+00	5.000000000000e+00
0.26337             	1.638984600000e+02	166	5.231853000000e+00	5.000000000000e+00
0.27337             	1.690309040000e+02	171	5.132450000000e+00	5.000000000000e+00
0.28337             	1.742551040000e+02	177	5.224207000000e+00	6.000000000000e+00
0.29337             	1.793796750000e+02	182	5.124578000000e+00	5.000000000000e+00
0.30337             	1.846096260000e+02	187	5.229958000000e+00	5.000000000000e+00
0.31337             	1.898930790000e+02	192	5.283462000000e+00	5.000000000000e+00
0.32337             	1.952286890000e+02	198	5.335618000000e+00	6.000000000000e+00
0.33337             	2.006534890000e+02	203	5.424808000000e+00	5.000000000000e+00
0.34337             	2.060225690000e+02	208	5.369087000000e+00	5.000000000000e+00
