# Residuals         
# Time              	p_rgh               	k                   	omega               
0                   	N/A                 	N/A                 	N/A                 
0.0045              	1.000000000000e+00	1.000000000000e+00	2.425053569741e-01
0.009               	2.564632127481e-04	9.010414126698e-01	1.610736302526e-01
0.0135              	2.571233244431e-04	8.060201674273e-01	1.519005902389e-01
0.018               	2.574859563125e-04	7.176290822008e-01	1.243034481364e-01
0.0225              	2.574838759864e-04	6.375568332942e-01	1.084644739264e-01
0.027               	2.575928173642e-04	5.663078857561e-01	9.352798668485e-02
0.0315              	2.579940481865e-04	5.036078228834e-01	8.206166881854e-02
0.036               	2.582745548596e-04	4.488423811667e-01	7.230496489672e-02
0.0405              	2.584182359319e-04	4.011350629358e-01	6.424698404792e-02
0.045               	2.589708638659e-04	3.576170529367e-01	5.740653742072e-02
0.0495              	2.594959661326e-04	3.191190912753e-01	5.160140575216e-02
0.054               	2.600490654251e-04	2.855341450334e-01	4.662026771394e-02
0.0585              	2.602824976212e-04	2.568340372543e-01	4.231504582908e-02
0.063               	2.609782966244e-04	2.317215603918e-01	3.857241186860e-02
0.0675              	2.616026440282e-04	2.099695572209e-01	3.530274737829e-02
0.072               	2.619791461832e-04	1.908030245031e-01	3.242829140200e-02
0.0765              	2.624145714193e-04	1.740788228238e-01	2.988821604587e-02
0.081               	2.629468193454e-04	1.592741702952e-01	2.763133203585e-02
0.0855              	2.636800914542e-04	1.462712520883e-01	2.561834233015e-02
0.09                	2.640304527390e-04	1.346175956009e-01	2.381650397856e-02
0.0945              	2.643667458373e-04	1.243345518128e-01	2.219628916750e-02
0.099               	2.646248733437e-04	1.150424545463e-01	2.073564243026e-02
0.1035              	2.652172284782e-04	1.067849156665e-01	1.941317905629e-02
0.108               	2.655734807634e-04	9.926956350109e-02	1.821330239792e-02
0.1125              	2.660787250429e-04	9.256628553502e-02	1.711959295597e-02
0.117               	2.665431154597e-04	8.643341422024e-02	1.612139678986e-02
0.1215              	2.670415719840e-04	8.091790603966e-02	1.520712091835e-02
0.126               	2.674359802855e-04	7.584837552480e-02	1.436832925345e-02
0.1305              	2.679464910535e-04	7.127352498846e-02	1.359619804564e-02
0.135               	2.683235991576e-04	6.704178149770e-02	1.288456674435e-02
0.1395              	2.685169696201e-04	6.319505543000e-02	1.222683506360e-02
0.144               	2.689867551410e-04	5.963146530347e-02	1.161793435423e-02
0.1485              	2.696048301864e-04	5.638376324599e-02	1.105286164665e-02
0.153               	2.697327667296e-04	5.335599948562e-02	1.052803589405e-02
0.1575              	2.704414905899e-04	5.058432144179e-02	1.003930153664e-02
0.162               	2.707428528120e-04	4.799459384331e-02	9.583757071252e-03
0.1665              	2.711328409811e-04	4.562009892889e-02	9.158062402832e-03
0.171               	2.714957483096e-04	4.338585842323e-02	8.760292881891e-03
0.1755              	2.720531615782e-04	4.132997843030e-02	8.387566500573e-03
0.18                	2.722878869946e-04	3.939587109828e-02	8.038168051465e-03
0.1845              	2.728819182755e-04	3.761173165064e-02	7.712111957259e-03
0.189               	2.731842920179e-04	3.592392374606e-02	7.403874377688e-03
0.1935              	2.736392106329e-04	3.436435015889e-02	7.113242355407e-03
0.198               	2.741556930634e-04	3.288330388494e-02	6.839533146865e-03
0.2025              	2.745031091320e-04	3.151294904134e-02	6.580431892782e-03
0.207               	2.749819204613e-04	3.020949569144e-02	6.336599944117e-03
0.2115              	2.753363358047e-04	2.899381127611e-02	6.105663626044e-03
0.216               	2.759282102121e-04	2.784218838382e-02	5.887033326284e-03
0.2205              	2.764872285910e-04	2.676329263023e-02	5.679855625067e-03
0.225               	2.768145769730e-04	2.573900761942e-02	5.483328126978e-03
0.2295              	2.771451499311e-04	2.477716796448e-02	5.296749095943e-03
0.234               	2.775993524595e-04	2.386184760743e-02	5.119502467140e-03
0.2385              	2.780023953492e-04	2.299978896054e-02	4.950980482955e-03
0.243               	2.784537345631e-04	2.217926859562e-02	4.790524708180e-03
0.2475              	2.788004420666e-04	2.140634595277e-02	4.637683832119e-03
0.252               	2.793523097734e-04	2.066848824016e-02	4.492035277634e-03
0.2565              	2.797233112450e-04	1.996753728930e-02	4.353210039186e-03
0.261               	2.802199462783e-04	1.930417508008e-02	4.220473097515e-03
0.2655              	2.804896239473e-04	1.867239046318e-02	4.093789508163e-03
0.27                	2.810844139780e-04	1.806819381137e-02	3.972650954039e-03
0.2745              	2.814956728826e-04	1.749190801623e-02	3.856891390741e-03
0.279               	2.821588275058e-04	1.694558767640e-02	3.745919359222e-03
0.2835              	2.824855418023e-04	1.642412217699e-02	3.639724532084e-03
0.288               	2.829234314743e-04	1.592377592795e-02	3.537936672413e-03
0.2925              	2.834958958631e-04	1.544802303750e-02	3.440308867479e-03
0.297               	2.837252494060e-04	1.498923210899e-02	3.346700636212e-03
0.3015              	2.844443772507e-04	1.455532532930e-02	3.256728076684e-03
0.306               	2.848988576984e-04	1.413606497145e-02	3.170351822961e-03
0.3105              	2.849970220581e-04	1.373583696614e-02	3.087379646931e-03
0.315               	2.856909750157e-04	1.335210012526e-02	3.007535619089e-03
0.3195              	2.861926901371e-04	1.298512891822e-02	2.930742744105e-03
0.324               	2.866040082205e-04	1.262921593336e-02	2.856890795995e-03
0.3285              	2.871389463703e-04	1.229213626685e-02	2.785663067122e-03
0.333               	2.873590338011e-04	1.196487590715e-02	2.717090237417e-03
