# Forces            
# CofR              : (1.500000000000e+00 0.000000000000e+00 5.000000000000e-01)
# Time              forces(pressure viscous)	moments(pressure viscous)
0                   	((0.000000000000e+00 0.000000000000e+00 0.000000000000e+00) (-4.169764288171e-03 3.120038885485e-06 -1.008418611174e-05)) ((0.000000000000e+00 0.000000000000e+00 0.000000000000e+00) (4.062985421036e-06 2.067550336234e-03 -1.044233852833e-03))
0.00667             	((-6.136737093589e-02 3.927577894678e+00 -2.914678164119e+00) (-4.104402458695e-03 8.055260361536e-05 1.740817563506e-04)) ((2.681272867446e+00 -3.169193535672e+00 -4.676136258696e+00) (-3.435898623999e-06 2.253610661164e-03 -1.127443326578e-03))
0.01334             	((3.869465023855e-02 -2.431587824751e+00 1.870527540823e+00) (-3.120354213232e-03 -1.188073074164e-04 7.752685849525e-05)) ((-1.676771807334e+00 2.034802809814e+00 2.897348058501e+00) (-7.866380210529e-05 1.647146758793e-03 -6.465753233247e-04))
0.02001             	((-1.562555552687e-04 4.545376221556e-02 3.071656528453e-02) (-2.805071396175e-03 -1.373675919192e-04 7.415108234421e-05)) ((1.499110062895e-02 3.197838125104e-02 -5.525750175197e-02) (-8.716165878238e-05 1.485996956388e-03 -5.474122606056e-04))
0.02668             	((1.551705464198e-03 -7.131026432653e-02 9.582192205572e-02) (-2.810012224024e-03 -1.757527255299e-04 7.627291132748e-05)) ((-5.941751854211e-02 1.036462773942e-01 8.458024628785e-02) (-1.069345409441e-04 1.491713216470e-03 -5.049597764185e-04))
0.03335             	((7.839772527808e-03 -4.445903320209e-01 3.797954687819e-01) (-2.689137968624e-03 -2.276261158094e-04 5.624310338843e-05)) ((-3.164567962720e-01 4.139069986914e-01 5.313741328067e-01) (-1.279572628111e-04 1.408550637178e-03 -4.146558288660e-04))
0.04002             	((4.094564056971e-03 -2.112874433539e-01 2.036707901304e-01) (-2.606232217970e-03 -2.499034805039e-04 5.246837618622e-05)) ((-1.562872637533e-01 2.217900934017e-01 2.525638514185e-01) (-1.383262211854e-04 1.364080798728e-03 -3.686766389926e-04))
0.04669             	((4.980747923285e-03 -2.527257954379e-01 2.327237358904e-01) (-2.539940270712e-03 -2.741517116877e-04 4.323992260353e-05)) ((-1.843967846446e-01 2.539364198298e-01 3.027635150501e-01) (-1.483808698038e-04 1.321857810695e-03 -3.244605434654e-04))
0.05336             	((5.374527369087e-03 -2.626665856253e-01 2.386064025628e-01) (-2.466572187553e-03 -2.942215853167e-04 3.357957118343e-05)) ((-1.910431424291e-01 2.607386158548e-01 3.152631934220e-01) (-1.563023865984e-04 1.275818419555e-03 -2.832928709141e-04))
0.06003             	((5.129715283896e-03 -2.372419628269e-01 2.178740687020e-01) (-2.397849359268e-03 -3.103819638433e-04 2.402514822272e-05)) ((-1.733538434637e-01 2.383365095661e-01 2.852280754180e-01) (-1.623581275218e-04 1.232477725563e-03 -2.478801795612e-04))
0.0667              	((5.483504829480e-03 -2.419082625479e-01 2.201075262660e-01) (-2.331849009733e-03 -3.276853384377e-04 1.280461010597e-05)) ((-1.764963021578e-01 2.411165165586e-01 2.914214335488e-01) (-1.686448652906e-04 1.188643786975e-03 -2.117664402676e-04))
0.07337             	((5.487631170843e-03 -2.291841235869e-01 2.084299483932e-01) (-2.268063183699e-03 -3.431805670416e-04 2.647172482004e-06)) ((-1.674436467882e-01 2.286104626779e-01 2.766383570725e-01) (-1.743624246105e-04 1.147240056866e-03 -1.782362951018e-04))
0.08337             	((5.711520595597e-03 -2.191245158837e-01 1.987409844611e-01) (-2.197519531623e-03 -3.708568263189e-04 -1.505059014006e-05)) ((-1.603680973409e-01 2.183986897885e-01 2.653328865295e-01) (-1.847095392497e-04 1.094614421376e-03 -1.284349639487e-04))
0.09337             	((5.855415375876e-03 -2.069864136047e-01 1.859760403511e-01) (-2.122293190762e-03 -3.925076306431e-04 -2.309116837453e-05)) ((-1.514810858731e-01 2.047762999957e-01 2.514743567306e-01) (-1.946133276868e-04 1.051364528697e-03 -8.419062498269e-05))
0.10337             	((5.946359527169e-03 -1.928769216068e-01 1.724667935295e-01) (-2.055389854920e-03 -4.118685023456e-04 -3.020881155070e-05)) ((-1.413940439068e-01 1.902602961921e-01 2.351428910023e-01) (-2.037749729862e-04 1.013577070920e-03 -4.449697582038e-05))
0.11337             	((6.136585374678e-03 -1.831137967372e-01 1.624794743671e-01) (-1.996337478009e-03 -4.325931426147e-04 -3.868033467208e-05)) ((-1.343856315126e-01 1.795827511274e-01 2.240493234144e-01) (-2.134996746451e-04 9.782924797533e-04 -4.926341924967e-06))
0.12337             	((6.099982136940e-03 -1.676112691294e-01 1.476505519411e-01) (-1.944361224450e-03 -4.537336320922e-04 -4.683713558952e-05)) ((-1.231980708395e-01 1.634984071181e-01 2.058432781828e-01) (-2.237358621747e-04 9.470956635969e-04 3.357655216707e-05))
0.13337             	((6.118534692874e-03 -1.556521517666e-01 1.355487115203e-01) (-1.899753186030e-03 -4.771788118933e-04 -5.581154606486e-05)) ((-1.144719527589e-01 1.503821735772e-01 1.918919893596e-01) (-2.351979316686e-04 9.187642219925e-04 7.318430912644e-05))
0.14337             	((5.995095908751e-03 -1.417170072199e-01 1.218257904732e-01) (-1.862650156448e-03 -5.024095876534e-04 -6.460164433689e-05)) ((-1.042684796955e-01 1.354144495590e-01 1.753958086338e-01) (-2.478968334773e-04 8.945690597480e-04 1.132385489206e-04))
0.15337             	((5.803493397705e-03 -1.283113175841e-01 1.084022135334e-01) (-1.833500675505e-03 -5.300651511904e-04 -7.366234372051e-05)) ((-9.435365586176e-02 1.207283065020e-01 1.594353394592e-01) (-2.620843582082e-04 8.742248953301e-04 1.544063313856e-04))
0.16337             	((5.565179054723e-03 -1.159478916063e-01 9.575760492847e-02) (-1.812597757773e-03 -5.604655037467e-04 -8.305833933689e-05)) ((-8.511513087870e-02 1.068621677827e-01 1.446494456960e-01) (-2.779504741699e-04 8.578454335062e-04 1.970295600667e-04))
