# Forces            
# CofR              : (1.500000000000e+00 0.000000000000e+00 5.000000000000e-01)
# Time              forces(pressure viscous)	moments(pressure viscous)
0                   	((0.000000000000e+00 0.000000000000e+00 0.000000000000e+00) (-1.417939237227e-02 3.741580185744e-20 -1.465569503212e-16)) ((0.000000000000e+00 0.000000000000e+00 0.000000000000e+00) (-1.320190043711e-17 6.419283600910e-03 5.510500981238e-06))
0.00667             	((-6.006810683604e+01 -4.194180412065e-06 5.789655008730e-04) (-1.334362045252e-02 -4.452007245797e-07 8.909663538886e-03)) ((-1.860910486059e-06 2.719729286395e+01 3.953597750750e-03) (-2.654304798830e-06 1.942550162805e-02 -1.888408579694e-06))
0.01334             	((3.001448394394e+01 4.641935331397e-06 -2.725501628328e-03) (-9.878076709119e-03 -2.275780184382e-07 2.747642966541e-03)) ((1.816013117396e-06 -1.359456911486e+01 -3.154801782263e-03) (-1.484821226313e-06 8.612910200932e-03 -7.158825961225e-07))
0.02001             	((-5.008521767122e+00 -8.476502282277e-07 1.620644525630e-03) (-8.739191971920e-03 -5.918817011220e-07 4.400343958665e-04)) ((-1.704112314188e-07 2.272091734284e+00 6.617310567024e-04) (-1.296600343653e-06 4.631852844134e-03 1.943532740520e-06))
0.02668             	((-2.882141847511e+00 -6.293017850666e-07 2.063612826282e-03) (-8.732224636511e-03 3.735861589642e-07 2.684378150769e-04)) ((-2.545178289054e-07 1.309994060880e+00 4.401268886250e-05) (-4.346778091909e-07 4.372733492685e-03 1.356132239002e-06))
0.03335             	((1.673065975080e+00 4.830566085454e-07 -2.095564562761e-03) (-7.858362707534e-03 6.541311926510e-07 5.149141297229e-05)) ((-2.278374813443e-07 -7.615066409880e-01 -3.574396970291e-04) (-9.327390682546e-08 3.651372241599e-03 1.051952126158e-06))
0.04002             	((-8.994807643308e-01 -3.115837572862e-07 1.745047514872e-03) (-7.271466811335e-03 -2.435345154636e-07 1.653206277304e-04)) ((-2.977146922091e-07 4.112497454457e-01 -8.002641374798e-05) (-4.659505564180e-07 3.558685246496e-03 2.387965020560e-06))
0.04669             	((-4.819657447932e-01 -1.958787250143e-07 1.338163457376e-03) (-6.849274869053e-03 -1.194684300122e-06 3.885541575393e-04)) ((-5.030086523818e-07 2.213268557205e-01 -1.487708509641e-04) (-8.764032637152e-07 3.706928732755e-03 3.616558771873e-06))
0.05336             	((-2.371077983725e-01 -1.092156820860e-07 8.910572881733e-04) (-6.501411722246e-03 -1.855491106671e-06 4.892229665587e-04)) ((-5.225751637769e-07 1.095480069456e-01 -1.256286070132e-04) (-1.083547864151e-06 3.704705797623e-03 4.423671555755e-06))
0.06003             	((-4.415971650462e-01 -2.258277223332e-07 2.156658290276e-03) (-6.271185406345e-03 -2.358129255422e-06 5.245090547986e-04)) ((-5.626793789269e-07 2.047222824790e-01 -9.377732746379e-05) (-1.176714159266e-06 3.657674595569e-03 4.957531121319e-06))
