# Motion State      
# Angle Units       : [deg]
# Angular Velocity Units: [rad/s]
# Time              	Centre of rotation	Orientation	Linear velocity	Angular velocity
0.18337             	(-5.987531830682e-02 2.270766177961e-06 -2.306820692638e-02)	(-1.263492323252e-04 -2.703275547074e+00 -1.205206717246e-05)	(-4.164129806924e-01 1.456624369166e-05 -2.400176355907e-01)	(-1.109798328580e-05 4.625741967650e-01 -8.006428164640e-06)
0.19337             	(-6.404184506855e-02 2.404673306592e-06 -2.552951708281e-02)	(-1.189127116119e-04 -2.970826817958e+00 -7.151184991603e-06)	(-4.168923716540e-01 1.221518203463e-05 -2.522443956945e-01)	(-1.498459681739e-05 4.713559221931e-01 -7.816534834277e-06)
0.20337             	(-6.820592780414e-02 2.518617258555e-06 -2.811529485299e-02)	(-1.090387690727e-04 -3.242581722345e+00 -2.078096232459e-06)	(-4.159241754638e-01 1.057360835796e-05 -2.649111583419e-01)	(-1.950814045810e-05 4.772476458046e-01 -8.024321934676e-06)
0.21337             	(-7.235331929128e-02 2.608482073645e-06 -3.083032871104e-02)	(-9.656584605336e-05 -3.516850680227e+00 3.092898077097e-06)	(-4.135541219644e-01 7.399354659984e-06 -2.780956132686e-01)	(-2.394491343026e-05 4.801316244047e-01 -7.459413091907e-06)
0.22337             	(-7.647022270118e-02 2.669343483491e-06 -3.368051421427e-02)	(-8.143210870695e-05 -3.791870300756e+00 8.239288624377e-06)	(-4.098265600154e-01 4.772927309333e-06 -2.919414873758e-01)	(-2.867852855206e-05 4.798679527664e-01 -7.137776782152e-06)
0.23337             	(-8.054337364518e-02 2.700623231273e-06 -3.667298583573e-02)	(-6.354187102667e-05 -4.065805930040e+00 1.336192007190e-05)	(-4.048036287845e-01 1.483022247004e-06 -3.065528369171e-01)	(-3.344137734027e-05 4.763477811497e-01 -6.464257234305e-06)
0.24337             	(-8.456017169493e-02 2.698399839937e-06 -3.981590966142e-02)	(-4.284305477013e-05 -4.336764348451e+00 1.836983033893e-05)	(-3.985559811653e-01 -1.927700514181e-06 -3.220319282218e-01)	(-3.835309251963e-05 4.694755263240e-01 -5.722243728518e-06)
0.25337             	(-8.850874982569e-02 2.662976471200e-06 -4.311847041309e-02)	(-1.924582183063e-05 -4.602801462294e+00 2.330691270915e-05)	(-3.911596449869e-01 -5.156973233331e-06 -3.384802221112e-01)	(-4.342682425913e-05 4.591691875168e-01 -5.090053930286e-06)
0.26337             	(-9.237804461400e-02 2.593543378319e-06 -4.659070411658e-02)	(7.269209273877e-06 -4.861934829891e+00 2.817614355683e-05)	(-3.826993126754e-01 -8.729645342805e-06 -3.559665185861e-01)	(-4.840408546383e-05 4.453769057942e-01 -4.267831322316e-06)
0.27337             	(-9.615784267145e-02 2.490728565542e-06 -5.024331844295e-02)	(3.664020947346e-05 -5.112156980359e+00 3.299476662632e-05)	(-3.732602988140e-01 -1.183331721256e-05 -3.745563466880e-01)	(-5.326406482631e-05 4.280631716787e-01 -3.635592422401e-06)
