# Forces            
# CofR              : (1.500000000000e+00 0.000000000000e+00 5.000000000000e-01)
# Time              forces(pressure viscous)	moments(pressure viscous)
0                   	((0.000000000000e+00 0.000000000000e+00 0.000000000000e+00) (-4.263916178659e+00 -3.583364333366e-05 -1.157416067203e-02)) ((0.000000000000e+00 0.000000000000e+00 0.000000000000e+00) (2.152841810602e-05 -3.056887613670e+00 -5.304576999776e-05))
0.00667             	((-1.899947583600e+03 1.945823362036e-01 5.623345073166e+01) (-4.963675510366e+00 -2.117320411232e-04 1.143242585668e-01)) ((-5.837146398191e-02 2.366804750893e+03 2.503266540591e-01) (3.932122911359e-05 -3.870251783225e+00 -5.678163147523e-04))
0.01334             	((9.632271914373e+02 4.154990739215e-01 1.760488466608e+03) (-3.847789167278e+00 -1.882925827393e-04 2.628873485315e-01)) ((-3.220718382268e-01 -5.287488110750e+02 -9.463074375893e-01) (4.828348913710e-05 -2.969089627584e+00 -1.542915508808e-04))
0.02001             	((-9.275348721323e+01 -5.030222270293e-01 1.320005107790e+03) (-3.694874745892e+00 -2.226380047595e-04 4.264809252769e-01)) ((3.148571381788e-01 5.510716006334e+02 5.497568268747e-01) (1.146048147031e-04 -2.828628645689e+00 3.134395009535e-05))
0.02668             	((-5.259895140943e+01 2.208020946913e-01 1.078586219897e+03) (-3.930711195003e+00 -1.876984407546e-04 5.903214324423e-01)) ((-1.195836396572e-01 4.483903819351e+02 -1.875357183993e-01) (9.046093089771e-05 -2.989910970490e+00 -1.679038955094e-06))
0.03335             	((9.766247265202e+01 -1.214957174277e-01 1.168961739901e+03) (-3.922209429646e+00 -2.261998395400e-04 7.334056207650e-01)) ((5.494550731311e-02 3.135017110167e+02 -2.069914794665e-02) (1.270490427750e-04 -2.953725058844e+00 2.455285919187e-05))
0.04002             	((2.151024534282e+01 2.791732205534e-02 1.135144935396e+03) (-3.969636957091e+00 -2.435938268212e-04 8.799755430775e-01)) ((-1.018158696430e-02 3.825126881111e+02 2.433314191623e-03) (1.444118613995e-04 -2.965005726007e+00 3.696700932181e-05))
0.04669             	((3.671513809711e+01 2.856709342579e-02 1.128603403380e+03) (-4.029415835868e+00 -2.413421910689e-04 1.024936523971e+00)) ((-1.808750065939e-02 3.735946540633e+02 -3.722008229894e-02) (1.449689624447e-04 -2.985382885582e+00 3.447339898982e-05))
0.05336             	((4.990843287173e+01 -4.836362570942e-02 1.112083565574e+03) (-4.069488395146e+00 -2.569713571808e-04 1.164399749643e+00)) ((2.400889353091e-02 3.562931632431e+02 2.679979518457e-03) (1.641118543653e-04 -2.990269870427e+00 3.934171225697e-05))
0.06003             	((4.924590285905e+01 5.743059725930e-02 1.096438282059e+03) (-4.115038736946e+00 -2.384738357930e-04 1.301357933166e+00)) ((-2.952775117518e-02 3.548177516823e+02 -4.008191807183e-02) (1.562151545688e-04 -2.999890350259e+00 2.327533678289e-05))
