# Forces            
# CofR              : (1.500000000000e+00 0.000000000000e+00 5.000000000000e-01)
# Time              forces(pressure viscous)	moments(pressure viscous)
0                   	((0.000000000000e+00 0.000000000000e+00 0.000000000000e+00) (-6.380166172740e-03 -1.142339316510e-12 3.639670173746e-13)) ((0.000000000000e+00 0.000000000000e+00 0.000000000000e+00) (-1.094918698609e-13 -9.160997415536e-04 -1.102473686521e-03))
0.00667             	((-1.822331860988e+01 -1.284548259770e-06 1.756497354868e-04) (-3.601963519075e-03 9.155522119951e-04 -3.198387342585e-04)) ((-2.897037073990e-05 -2.767524693764e+00 -3.025634643246e+00) (-1.562024746801e-05 -1.038352071591e-03 -2.023537107570e-03))
0.01334             	((9.303024757718e+00 1.444972329582e-06 -8.447747984188e-04) (-2.688768031673e-03 1.004314345541e-04 3.542801439473e-04)) ((1.397822699782e-04 1.373290359264e+00 1.541679450153e+00) (-7.947074896539e-05 2.087290776062e-04 -6.506066847316e-04))
0.02001             	((-1.353576788243e+00 -2.298930456603e-07 4.379872308409e-04) (-2.444976939608e-03 4.174644611561e-05 1.106133163624e-04)) ((-7.135970158408e-05 -2.279737497844e-01 -2.206526664768e-01) (-4.864641340172e-05 -1.634861007661e-04 -5.007022532161e-04))
0.02668             	((-7.093999758041e-01 -1.553213653906e-07 5.079303823094e-04) (-2.584807904410e-03 1.608730779691e-04 8.264302401867e-05)) ((-8.322585006495e-05 -1.224610282356e-01 -1.162745672255e-01) (-5.196642789194e-05 -2.340731403777e-04 -7.037018114998e-04))
0.03335             	((6.470153964613e-01 1.872902819516e-07 -8.104060581398e-04) (-2.432585825354e-03 1.654452673970e-04 1.313860439589e-04)) ((1.365446160818e-04 7.987875173549e-02 1.090334563422e-01) (-6.180116006059e-05 -1.402675069585e-04 -6.804011904110e-04))
0.04002             	((-1.512644511713e-01 -5.244332268360e-08 2.934622996293e-04) (-2.313337264787e-03 1.976933537004e-04 9.645220644507e-05)) ((-4.470232424333e-05 -3.765763175198e-02 -2.304843731821e-02) (-6.337473358581e-05 -1.784818696485e-04 -7.058389076641e-04))
0.04669             	((-3.880314353470e-02 -1.574350346551e-08 1.077357803696e-04) (-2.243006675106e-03 2.120623477082e-04 9.875196257498e-05)) ((-1.267549753467e-05 -1.938705449737e-02 -4.568170062048e-03) (-6.810556284802e-05 -1.627683052190e-04 -7.142467078534e-04))
0.05336             	((3.240282568511e-02 1.499975744598e-08 -1.217706670218e-04) (-2.188652737789e-03 2.158606426143e-04 1.033378127859e-04)) ((2.744932009308e-05 -8.113975200366e-03 7.303187285053e-03) (-7.214513494021e-05 -1.472535818562e-04 -7.094088873466e-04))
0.06003             	((-3.026213988931e-02 -1.544229131844e-08 1.477932959059e-04) (-2.159011023936e-03 2.190627485459e-04 1.001656355498e-04)) ((-1.480482309665e-05 -1.613989229348e-02 -3.033126332238e-03) (-7.434537849860e-05 -1.482850711769e-04 -7.080938049565e-04))
