# Forces            
# CofR              : (1.500000000000e+00 0.000000000000e+00 5.000000000000e-01)
# Time              forces(pressure viscous)	moments(pressure viscous)
0                   	((0.000000000000e+00 0.000000000000e+00 0.000000000000e+00) (-3.075437617659e-02 8.232953578609e-15 -2.002611784531e-14)) ((0.000000000000e+00 0.000000000000e+00 0.000000000000e+00) (-4.661422469206e-15 -1.614571151569e-02 1.276269343408e-06))
0.00667             	((-1.905461342718e+02 -1.330443920330e-05 1.836575418114e-03) (-1.603993487991e-02 1.087716099505e-05 -6.205063491450e-03)) ((6.972093499094e-06 -9.996587741017e+01 -8.074340277284e-04) (-4.801615847276e-06 -1.723386565634e-02 -1.676591735638e-05))
0.01334             	((9.031261576211e+01 1.396733503452e-05 -8.200946405400e-03) (-4.398788027234e-03 1.826041563504e-05 -2.367428684096e-03)) ((-7.235366792351e-06 4.733368088785e+01 9.364923691995e-04) (-9.361384844859e-06 -5.669475964045e-03 -2.417220128341e-05))
0.02001             	((-1.512419258140e+01 -2.559626911947e-06 4.893847099914e-03) (-2.512063216232e-03 1.238630205040e-05 -6.609445009315e-04)) ((1.311685345133e-06 -7.939149624898e+00 -9.870946725918e-05) (-6.658526073948e-06 -2.270808745029e-03 -1.564382266821e-05))
0.02668             	((-1.033069363688e+01 -2.255646679997e-06 7.396773978929e-03) (-2.551837619843e-03 9.559340255802e-06 3.490106432826e-04)) ((1.181065867091e-06 -5.418289589677e+00 -2.773185678234e-06) (-5.220548262092e-06 -8.745729112892e-04 -1.207784105253e-05))
0.03335             	((3.064525126531e+00 8.848022418182e-07 -3.838408249684e-03) (-1.859371268923e-03 5.633376890410e-06 1.118359736512e-03)) ((-4.844681130020e-07 1.586222091154e+00 -2.114737214043e-05) (-3.218629068143e-06 5.773409953286e-04 -6.694380843122e-06))
0.04002             	((-4.647976334623e+00 -1.610073182207e-06 9.017357417591e-03) (-1.739645133183e-03 2.815099101866e-06 1.422620013482e-03)) ((7.830066737153e-07 -2.430475065565e+00 -3.036868229851e-05) (-1.779638257467e-06 1.071199613516e-03 -2.827953826542e-06))
0.04669             	((-3.482700738017e+00 -1.415422929258e-06 9.669614297502e-03) (-1.661731858187e-03 2.588478761257e-06 1.612207909197e-03)) ((7.637146469103e-07 -1.816359969307e+00 9.190912548702e-06) (-1.689086426014e-06 1.382086592676e-03 -2.580630286281e-06))
0.05336             	((-2.533757976710e+00 -1.167087473480e-06 9.521928531163e-03) (-1.557551198509e-03 3.941318441386e-06 1.775814988518e-03)) ((6.716270134580e-07 -1.317696359514e+00 1.721013792615e-05) (-2.376696594306e-06 1.670197695277e-03 -4.589222157557e-06))
0.06003             	((-2.980553174234e+00 -1.524217767477e-06 1.455633146804e-02) (-1.520699218524e-03 5.156887644541e-06 1.887919847666e-03)) ((8.997356292141e-07 -1.540808224491e+00 2.288921839304e-05) (-2.943216297997e-06 1.849514278109e-03 -6.460398854245e-06))
0.0667              	((-2.794693357529e+00 -1.536948614496e-06 1.718919446406e-02) (-1.482391261849e-03 4.887797484520e-06 1.975890052131e-03)) ((9.301287968595e-07 -1.437129972494e+00 2.272533731856e-05) (-2.731118880470e-06 1.995466628552e-03 -6.257617751754e-06))
0.07337             	((-2.595969688615e+00 -1.522502598697e-06 1.961605068105e-02) (-1.423809818979e-03 3.452867982056e-06 2.046020339665e-03)) ((1.017052076295e-06 -1.327305416594e+00 3.157673136283e-05) (-1.916212657299e-06 2.127093482538e-03 -4.341221629073e-06))
0.08337             	((-2.474353878752e+00 -1.523845163008e-06 2.453560237443e-02) (-1.312126080816e-03 2.433064303611e-07 2.085290246798e-03)) ((8.556722823899e-07 -1.252653565554e+00 8.493220332459e-06) (-2.062963331490e-07 2.244298444667e-03 1.186759718574e-07))
