# Forces            
# CofR              : (1.500000000000e+00 0.000000000000e+00 5.000000000000e-01)
# Time              forces(pressure viscous)	moments(pressure viscous)
0                   	((0.000000000000e+00 0.000000000000e+00 0.000000000000e+00) (-1.811446718908e-03 -7.672206134016e-07 -5.361229098778e-07)) ((0.000000000000e+00 0.000000000000e+00 0.000000000000e+00) (-1.841702739021e-07 8.159100034897e-04 -5.453887155926e-04))
0.00667             	((6.324914370824e-04 -4.033241371116e-01 8.630221260517e-01) (-2.225274808548e-03 1.787362803654e-04 3.649371566542e-04)) ((-4.412496897095e-01 4.397269092027e-01 1.922031182185e-01) (-2.948878955128e-05 1.183983255030e-03 -7.606177855758e-04))
0.01334             	((-3.318067958883e-04 3.561600385695e-01 -6.103353678016e-01) (-1.743271287845e-03 1.320526884403e-04 3.620375018748e-04)) ((3.441956856958e-01 -3.106353371443e-01 -1.685453276219e-01) (-4.965761384944e-05 9.652120808410e-04 -5.919566715919e-04))
0.02001             	((6.956334607976e-05 8.417382251957e-02 -6.142649695960e-02) (-1.622449440147e-03 1.407145215192e-04 4.845476627544e-04)) ((5.653544226513e-02 -3.063095411753e-02 -3.907872266144e-02) (-8.266122848769e-05 9.721362598275e-04 -5.599912437719e-04))
0.02668             	((4.179819108817e-05 6.207949976387e-02 -4.535529267290e-02) (-1.676796032455e-03 1.517855209100e-04 6.250628184453e-04)) ((4.174434102371e-02 -2.274889121216e-02 -2.889618176280e-02) (-1.199642985324e-04 1.067694073399e-03 -5.819558611373e-04))
0.03335             	((-1.030361274209e-04 9.769751608808e-02 -1.135519913001e-01) (-1.640830836339e-03 1.481316298323e-04 7.347804292223e-04)) ((7.842975216687e-02 -5.791531012003e-02 -4.613339899152e-02) (-1.546016288445e-04 1.107750425984e-03 -5.692173990347e-04))
0.04002             	((-4.077374913090e-05 7.105077332580e-02 -6.169266618870e-02) (-1.623710035047e-03 1.512384301043e-04 8.545916895871e-04)) ((5.084185410680e-02 -3.138345836875e-02 -3.343451204294e-02) (-1.891898093006e-04 1.162133256931e-03 -5.656201569473e-04))
0.04669             	((-6.388247235257e-05 6.590967256045e-02 -5.482021107017e-02) (-1.615458735853e-03 1.570742980015e-04 9.772265323215e-04)) ((4.652006975110e-02 -2.800085127855e-02 -3.110371862944e-02) (-2.233483410275e-04 1.222756894467e-03 -5.661007269715e-04))
0.05336             	((-6.754907649306e-05 5.873687620316e-02 -4.452659549140e-02) (-1.601751077021e-03 1.630404585804e-04 1.095631916370e-03)) ((4.024136997145e-02 -2.283236174957e-02 -2.777378830350e-02) (-2.561230286371e-04 1.279592595592e-03 -5.650164894252e-04))
0.06003             	((-1.709265723078e-05 4.812690016652e-02 -2.730073353681e-02) (-1.590744294472e-03 1.703270302276e-04 1.212553195237e-03)) ((3.029255681662e-02 -1.403061355214e-02 -2.272583966391e-02) (-2.877930199853e-04 1.337744016845e-03 -5.654529558203e-04))
0.0667              	((4.219629078696e-05 3.970764181084e-02 -1.432159787463e-02) (-1.581010592638e-03 1.792044858510e-04 1.326314114785e-03)) ((2.260074025023e-02 -7.395434480780e-03 -1.870845919248e-02) (-3.177175545333e-04 1.395704317482e-03 -5.671286530314e-04))
