# Forces            
# CofR              : (1.500000000000e+00 0.000000000000e+00 5.000000000000e-01)
# Time              forces(pressure viscous)	moments(pressure viscous)
0                   	((0.000000000000e+00 0.000000000000e+00 0.000000000000e+00) (-1.206937154212e+00 -5.289357831750e-02 6.172178441556e-07)) ((0.000000000000e+00 0.000000000000e+00 0.000000000000e+00) (1.425981837720e-03 -3.145735496894e-02 -2.606835863889e-01))
0.00667             	((-8.272034642820e+02 -5.551747653706e+03 -7.805713814713e-03) (-1.263607516969e+00 1.119780181667e-01 1.971972731850e-02)) ((1.951838834181e+02 -2.994736982718e+01 7.332972561729e+03) (-6.079244641120e-03 -8.337431723144e-03 -5.164754372945e-01))
0.01334             	((4.156352078088e+02 2.748760294232e+03 -3.199152487280e-02) (-9.370927574645e-01 1.189688828099e-01 3.590628173669e-02)) ((-7.734985802391e+01 1.282644286146e+01 -3.637834078620e+03) (-1.145314422044e-02 2.114437309554e-02 -4.344329265222e-01))
0.02001             	((-6.095391283201e+01 -3.766367065658e+02 1.717806931996e-02) (-8.611564064396e-01 1.161526636238e-01 5.064087249664e-02)) ((2.381340407383e+01 -3.540583750698e+00 4.979814764476e+02) (-1.568667619914e-02 4.014110825005e-02 -4.093001189190e-01))
0.02668             	((-3.754542101440e+01 -2.441747471836e+02 2.489969769484e-02) (-8.809131309804e-01 1.162677284256e-01 6.666238284774e-02)) ((1.763523701599e+01 -2.309483837905e+00 3.218706339388e+02) (-2.028871461887e-02 5.839051825430e-02 -4.155529141947e-01))
0.03335             	((2.510554983326e+01 1.805509364909e+02 -3.209956692148e-02) (-8.469325751894e-01 1.125724918170e-01 8.330637807911e-02)) ((3.851354688390e+00 -2.837674483826e-01 -2.410709243109e+02) (-2.512242993708e-02 7.970095454350e-02 -4.010162287508e-01))
0.04002             	((-1.105082267790e+01 -5.833893616944e+01 2.003822583624e-02) (-8.272641107029e-01 1.091968324216e-01 9.894589386081e-02)) ((1.152693037952e+01 -1.459951937288e+00 7.596201529702e+01) (-2.961158934866e-02 9.927356753564e-02 -3.908467361407e-01))
0.04669             	((-5.926673498917e+00 -2.714863254620e+01 1.518105239392e-02) (-8.118434594531e-01 1.068209082278e-01 1.145252984930e-01)) ((1.036437524433e+01 -1.261501332650e+00 3.452461234788e+01) (-3.407675078700e-02 1.188880023489e-01 -3.832483468174e-01))
0.05336             	((-2.485910169685e+00 -4.026058232678e+00 8.219787525439e-03) (-7.937422251014e-01 1.045639471504e-01 1.296733539169e-01)) ((9.357926961221e+00 -1.131042403479e+00 3.800356295073e+00) (-3.840711756400e-02 1.382590198232e-01 -3.750475915236e-01))
0.06003             	((-5.224125411553e+00 -2.243348901164e+01 2.438819727478e-02) (-7.782817679502e-01 1.025148635383e-01 1.442288748401e-01)) ((9.680040221388e+00 -1.174819062266e+00 2.831390401833e+01) (-4.254322132588e-02 1.569211030489e-01 -3.679006738109e-01))
0.0667              	((-4.658021225488e+00 -1.917930947053e+01 2.758956337996e-02) (-7.641969442725e-01 1.006076755523e-01 1.585776288414e-01)) ((9.401685987802e+00 -1.135033068567e+00 2.398785711775e+01) (-4.658804953488e-02 1.754688812515e-01 -3.613553444620e-01))
