# Forces            
# CofR              : (1.500000000000e+00 0.000000000000e+00 5.000000000000e-01)
# Time              forces(pressure viscous)	moments(pressure viscous)
0                   	((0.000000000000e+00 0.000000000000e+00 0.000000000000e+00) (-4.157898128008e-01 2.682032077605e-06 -3.204724186121e-07)) ((0.000000000000e+00 0.000000000000e+00 0.000000000000e+00) (-6.728852786925e-07 -8.213185383635e-03 6.670991508751e-02))
0.00667             	((-1.582125810719e+02 -1.156101895604e-01 3.911779035256e+01) (-3.976271398841e-01 -9.504023899484e-02 2.403358713491e-03)) ((6.262295092930e+00 5.008041504840e+01 1.512617517251e+01) (2.260310277559e-03 -4.634168889659e-03 1.928651921003e-01))
0.01334             	((8.948507587970e+01 5.088695797025e-02 3.501238917809e+01) (-3.012820770465e-01 -6.676085419638e-02 9.083063276098e-03)) ((5.678754881819e+00 4.911266995481e+01 -9.259489750520e+00) (2.888079985694e-03 5.999305702348e-03 1.390855450046e-01))
0.02001             	((-1.379032134569e+01 -5.647237523805e-03 1.186998849642e+01) (-2.777515304129e-01 -6.472522162788e-02 1.206824150170e-02)) ((1.999016293018e+00 1.545379317996e+01 1.547276073245e+00) (3.387755985197e-03 1.034104617043e-02 1.325667559175e-01))
0.02668             	((-4.553102875595e+00 -6.543771142486e-03 2.463349974963e+01) (-2.836687021636e-01 -6.873773963224e-02 1.526086510498e-02)) ((4.043666393466e+00 3.312627407448e+01 2.869147855111e-01) (4.031455448381e-03 1.440817217243e-02 1.390271380224e-01))
0.03335             	((7.192692603382e+00 2.754107233785e-03 3.030488628000e+01) (-2.734944906346e-01 -6.528370497016e-02 1.905379711509e-02)) ((4.971743131013e+00 4.106226438952e+01 -8.072018479631e-01) (4.626693542210e-03 1.963303810478e-02 1.327593252931e-01))
0.04002             	((-1.622241286317e-01 -2.075064887876e-03 2.213333340611e+01) (-2.669540648541e-01 -6.407517928443e-02 2.187646179424e-02)) ((3.686237045828e+00 2.967410025328e+01 -7.530110204458e-02) (5.100043098390e-03 2.350889552476e-02 1.301075705947e-01))
0.04669             	((1.229794727665e+00 -1.622597142374e-03 2.624605195559e+01) (-2.617375338642e-01 -6.308652914637e-02 2.480417113527e-02)) ((4.361660896250e+00 3.530894166970e+01 -2.451207464298e-01) (5.590049343640e-03 2.753120321692e-02 1.279599614167e-01))
0.05336             	((1.941877746783e+00 -1.121924251198e-03 2.585941464696e+01) (-2.556278920724e-01 -6.167504973315e-02 2.764724542699e-02)) ((4.317615243528e+00 3.475892367906e+01 -3.199328688972e-01) (6.052431854651e-03 3.149010008677e-02 1.250869333992e-01))
0.06003             	((1.508546492163e+00 -1.529958431456e-03 2.499287473784e+01) (-2.501758635908e-01 -6.051841943893e-02 3.019946699605e-02)) ((4.196964227920e+00 3.352680443947e+01 -2.893169548103e-01) (6.466040624292e-03 3.507253053160e-02 1.226621016347e-01))
0.0667              	((1.786395311315e+00 -1.488644755571e-03 2.611095548768e+01) (-2.450631545262e-01 -5.941903632353e-02 3.273947534588e-02)) ((4.393208222335e+00 3.503799685868e+01 -3.325415047375e-01) (6.874097155946e-03 3.865806936291e-02 1.203658830084e-01))
0.07337             	((1.934621915062e+00 -1.512577244768e-03 2.523226499031e+01) (-2.401181860442e-01 -5.836043368665e-02 3.508860153047e-02)) ((4.269186548848e+00 3.380412755051e+01 -3.611538471670e-01) (7.246088424291e-03 4.200769764752e-02 1.181489173165e-01))
0.08337             	((2.110296602742e+00 -1.597688589700e-03 2.515979696375e+01) (-2.331661014594e-01 -5.694894301132e-02 3.869244070711e-02)) ((4.284831085962e+00 3.366106339097e+01 -4.016062094422e-01) (7.804096728910e-03 4.719547443322e-02 1.151355455130e-01))
0.09337             	((2.352778061561e+00 -1.657973239455e-03 2.525673680458e+01) (-2.267626634548e-01 -5.570205516153e-02 4.205973996559e-02)) ((4.321654193156e+00 3.376752080154e+01 -4.517495091979e-01) (8.318157881132e-03 5.208567908070e-02 1.124276395586e-01))
0.10337             	((2.576486693386e+00 -1.735707644031e-03 2.479604377211e+01) (-2.207877832270e-01 -5.459711395000e-02 4.510412235584e-02)) ((4.268841025641e+00 3.310366809145e+01 -5.000350513911e-01) (8.770025431332e-03 5.657888932455e-02 1.099771661563e-01))
0.11337             	((2.834524402399e+00 -1.809261422640e-03 2.490929538382e+01) (-2.152282255888e-01 -5.362670897769e-02 4.798830125390e-02)) ((4.307746888481e+00 3.323184669378e+01 -5.541607488034e-01) (9.187431179590e-03 6.089157810251e-02 1.077723966720e-01))
0.12337             	((3.096224294220e+00 -1.893140254409e-03 2.439960330885e+01) (-2.099832285732e-01 -5.277036104627e-02 5.064505291305e-02)) ((4.245832870554e+00 3.249948794475e+01 -6.088771404034e-01) (9.558339060576e-03 6.493360728536e-02 1.057707348703e-01))
0.13337             	((3.375842191072e+00 -1.973784626826e-03 2.438506564264e+01) (-2.050404024762e-01 -5.202103038706e-02 5.317657412496e-02)) ((4.262438726876e+00 3.245219677074e+01 -6.667828970500e-01) (9.900392835038e-03 6.883667597353e-02 1.039611694975e-01))
0.14337             	((3.657719833263e+00 -2.064593865409e-03 2.408683116929e+01) (-2.003411856781e-01 -5.135671228799e-02 5.556522480634e-02)) ((4.232737043998e+00 3.201131008990e+01 -7.249916803388e-01) (1.021007023673e-02 7.257561943299e-02 1.023059665287e-01))
0.15337             	((3.947590817143e+00 -2.156153435118e-03 2.386469454288e+01) (-1.958715087965e-01 -5.076147462431e-02 5.782599860964e-02)) ((4.214502166903e+00 3.167516500161e+01 -7.842696429981e-01) (1.048968248626e-02 7.616759290194e-02 1.007823280608e-01))
0.16337             	((4.245602422624e+00 -2.248981529334e-03 2.373696663884e+01) (-1.916209909275e-01 -5.022137058097e-02 5.999752043975e-02)) ((4.210658719886e+00 3.146930096895e+01 -8.445937563254e-01) (1.074584701258e-02 7.966203128871e-02 9.937037470708e-02))
0.17337             	((4.541913875729e+00 -2.343510850206e-03 2.351021681417e+01) (-1.875689268590e-01 -4.972105612633e-02 6.206591581861e-02)) ((4.190213477044e+00 3.112453143209e+01 -9.042077472743e-01) (1.097612546963e-02 8.303824706093e-02 9.804655689223e-02))
0.18337             	((4.846760716813e+00 -2.435203776287e-03 2.344970280907e+01) (-1.837069387961e-01 -4.924899197827e-02 6.406068735560e-02)) ((4.195654760779e+00 3.101020402332e+01 -9.646971228556e-01) (1.118570036266e-02 8.633438659869e-02 9.679363834433e-02))
0.19337             	((5.150403881445e+00 -2.526410162577e-03 2.334643525471e+01) (-1.800110114263e-01 -4.879415093167e-02 6.597336631183e-02)) ((4.193522624029e+00 3.083503597479e+01 -1.024407211919e+00) (1.137333702452e-02 8.953788216434e-02 9.559262589688e-02))
0.20337             	((5.458546936535e+00 -2.613713748056e-03 2.334974977685e+01) (-1.764685435056e-01 -4.834437673491e-02 6.781174136639e-02)) ((4.207706999584e+00 3.080775365310e+01 -1.084181290370e+00) (1.154086780935e-02 9.265813406183e-02 9.442491130968e-02))
