# Forces            
# CofR              : (1.500000000000e+00 0.000000000000e+00 5.000000000000e-01)
# Time              forces(pressure viscous)	moments(pressure viscous)
0                   	((0.000000000000e+00 0.000000000000e+00 0.000000000000e+00) (-1.321099919113e-02 0.000000000000e+00 0.000000000000e+00)) ((0.000000000000e+00 0.000000000000e+00 0.000000000000e+00) (0.000000000000e+00 6.258176299132e-03 -3.614387003017e-03))
0.00667             	((-4.451322523518e+01 -3.108080268015e-06 4.290400216850e-04) (-9.329398153973e-03 1.581963635896e-03 2.072702613091e-03)) ((-1.192143512139e-04 2.106353317769e+01 -1.221598883577e+01) (1.768577463431e-04 7.569655770630e-03 -4.951955346365e-03))
0.01334             	((2.256336542252e+01 3.489571347164e-06 -2.048893772179e-03) (-2.604239066392e-03 3.867054416674e-04 7.207163227286e-04)) ((5.626976319338e-04 -1.067303693297e+01 6.178508685876e+00) (-1.818606758415e-05 2.323346687231e-03 -1.313707565494e-03))
0.02001             	((-2.920065056202e+00 -4.941964776659e-07 9.448671022167e-04) (-1.309829047340e-03 2.626330908113e-05 3.041961144023e-04)) ((-2.593085405330e-04 1.387228466100e+00 -8.006546558651e-01) (-7.433690554544e-05 1.079403061064e-03 -4.080380339121e-04))
0.02668             	((-1.830378409964e+00 -3.996543071489e-07 1.310550473865e-03) (-1.456909656615e-03 -1.337123470149e-04 1.967078471374e-04)) ((-3.618551873841e-04 8.735562589601e-01 -5.051181279935e-01) (-1.198149537076e-04 9.928620424888e-04 -2.027100676191e-04))
0.03335             	((1.563520633804e+00 4.514280875361e-07 -1.958355786469e-03) (-1.082547653086e-03 -2.960503256112e-04 3.012252983698e-05)) ((5.336928948602e-04 -7.396697717668e-01 4.259215568904e-01) (-1.506404928638e-04 5.658161029139e-04 1.480636543601e-04))
0.04002             	((-3.750017246795e-01 -1.299021072269e-07 7.275262058874e-04) (-1.069030916327e-03 -3.442488450879e-04 -8.902487382114e-05)) ((-2.037685456898e-04 1.831406044126e-01 -1.049993321210e-01) (-1.407935723389e-04 3.816109158110e-04 2.268296931162e-04))
0.04669             	((-9.153193920659e-02 -3.720007035519e-08 2.541356881788e-04) (-1.077253043677e-03 -3.728278162627e-04 -1.786661835446e-04)) ((-7.509927828418e-05 4.784491731736e-02 -2.704147059913e-02) (-1.298186896696e-04 2.519140963907e-04 2.695069760911e-04))
0.05336             	((8.566576814339e-02 3.945903680253e-08 -3.219341901726e-04) (-1.045459856561e-03 -3.925763623321e-04 -2.593537618164e-04)) ((8.261630108556e-05 -3.722697733076e-02 2.197939879948e-02) (-1.171362062855e-04 1.159278244180e-04 3.095120257955e-04))
0.06003             	((-7.176478386876e-02 -3.669968694366e-08 3.504825853358e-04) (-1.040080427421e-03 -3.965665674252e-04 -3.238238678775e-04)) ((-1.018098300083e-04 3.862367634269e-02 -2.084252763210e-02) (-1.014757976190e-04 1.656899970552e-05 3.181472774509e-04))
0.0667              	((-4.583412753230e-02 -2.520663863595e-08 2.819099023616e-04) (-1.038075842637e-03 -3.969843556275e-04 -3.723822677109e-04)) ((-8.284074406398e-05 2.614178409605e-02 -1.346626794586e-02) (-8.853499512542e-05 -5.749416195374e-05 3.202529547886e-04))
0.07337             	((-6.359190066875e-02 -3.729588948149e-08 4.805225393400e-04) (-1.032566745390e-03 -3.980476815379e-04 -4.146802598250e-04)) ((-1.365377196904e-04 3.495635899725e-02 -1.806656018990e-02) (-7.769919651540e-05 -1.241197794366e-04 3.241818815817e-04))
