# Forces            
# CofR              : (1.500000000000e+00 0.000000000000e+00 5.000000000000e-01)
# Time              forces(pressure viscous)	moments(pressure viscous)
0                   	((0.000000000000e+00 0.000000000000e+00 0.000000000000e+00) (-1.980048937404e-01 -8.783809505314e-19 3.853122118670e-17)) ((0.000000000000e+00 0.000000000000e+00 0.000000000000e+00) (2.070599408137e-18 -5.337702166596e-03 -3.932984737730e-06))
0.00667             	((-1.277298930838e+03 -8.918579988804e-05 1.231122566685e-02) (-6.565921575766e-02 -3.167433500351e-06 8.467346280042e-04)) ((2.704787035996e-06 -3.873211930134e+01 3.789426990974e-05) (-1.287284907495e-05 -8.442092007825e-04 4.405554291076e-06))
0.01334             	((6.527278090104e+02 1.009486047042e-04 -5.927174061923e-02) (-2.061584359174e-02 1.035884181343e-05 2.429972322091e-03)) ((-2.588902030375e-06 1.692452558957e+01 3.148027764261e-04) (-2.034395402184e-05 2.762901321857e-03 -1.675987473154e-05))
0.02001             	((-8.612421054970e+01 -1.457579910809e-05 2.786784940978e-02) (-1.542969252088e-02 -1.036145814797e-05 3.036667059487e-03)) ((6.255518887810e-07 -4.475113158735e+00 -4.073937268874e-04) (-1.255269996649e-05 3.790963030420e-03 1.475163800028e-05))
0.02668             	((-4.815389451088e+01 -1.051417091054e-05 3.447817616631e-02) (-1.617345162569e-02 6.459796911663e-06 3.800179521762e-03)) ((5.745698967140e-07 -2.755312224975e+00 -3.776432344307e-05) (-3.858292298010e-06 4.897751110247e-03 -1.130393077320e-05))
0.03335             	((4.822252859675e+01 1.392306779443e-05 -6.040014175309e-02) (-1.321146014157e-02 1.238867271510e-06 4.813807488559e-03)) ((-8.105959057349e-08 4.009661500024e-02 -5.547387975506e-05) (8.271042916761e-08 6.527709635895e-03 -3.882128969037e-06))
0.04002             	((-7.936569415173e+00 -2.749259635409e-06 1.539742847668e-02) (-1.206286903223e-02 -1.473967721753e-05 5.736846502352e-03)) ((3.821537878342e-07 -1.530892465605e+00 -7.636539485394e-05) (-2.473504318957e-07 7.938622613467e-03 2.001160241962e-05))
0.04669             	((-7.741741631047e-02 -3.146373342127e-08 2.149471380341e-04) (-1.093413861165e-02 -1.932149228930e-05 6.678559445491e-03)) ((2.590989672994e-07 -1.200072723698e+00 -8.234561058159e-05) (-3.723448727156e-06 9.370001778677e-03 2.678220172292e-05))
0.05336             	((5.163529710442e+00 2.378405172316e-06 -1.940467927611e-02) (-9.522055524598e-03 -8.413743411917e-06 7.605430448391e-03)) ((1.702227930667e-07 -9.932792386495e-01 -7.644908832396e-05) (-7.660438210560e-06 1.079293418227e-02 1.026855505039e-05))
0.06003             	((8.217993392601e-01 4.202587215285e-07 -4.013477663053e-03) (-8.370242854356e-03 1.937260848791e-05 8.461430397272e-03)) ((2.273666293725e-07 -1.026442909340e+00 -6.092518438358e-05) (-1.356703695289e-05 1.210922166286e-02 -3.174407076125e-05))
0.0667              	((1.610785156758e+00 8.858568993584e-07 -9.907383661820e-03) (-7.365263923826e-03 5.160032763036e-05 9.288928961737e-03)) ((6.116663622534e-08 -9.312532141637e-01 -7.332216252902e-05) (-1.943390699496e-05 1.338673290247e-02 -8.053303414508e-05))
0.07337             	((1.632759435892e+00 9.575938626719e-07 -1.233769870086e-02) (-6.522976371816e-03 8.282501428007e-05 1.006450591717e-02)) ((3.167097471114e-08 -8.501680869926e-01 -6.179472316439e-05) (-2.510437873831e-05 1.458562003882e-02 -1.278734298593e-04))
0.08337             	((1.163203091310e+00 7.163665142344e-07 -1.153427922386e-02) (-5.571140649643e-03 1.150534936553e-04 1.097537942726e-02)) ((-2.564465981913e-07 -7.660299589618e-01 -7.343828637953e-05) (-3.141138675004e-05 1.599975335793e-02 -1.767128711679e-04))
0.09337             	((8.901078068688e-01 5.606552118636e-07 -1.118800959543e-02) (-4.811821676319e-03 1.312720014580e-04 1.203961666767e-02)) ((-3.036320520812e-07 -6.228049650958e-01 -5.536678479920e-05) (-3.399368512350e-05 1.765324970850e-02 -2.012098827588e-04))
0.10337             	((4.849530697919e-01 3.067456153968e-07 -7.519307934635e-03) (-4.245887391670e-03 1.403384819914e-04 1.303915001787e-02)) ((-6.461320821861e-07 -4.979547754913e-01 -6.198564986276e-05) (-3.428706451787e-05 1.921421263427e-02 -2.148838075270e-04))
0.11337             	((1.210736537101e-01 7.449855281598e-08 -2.265328513866e-03) (-3.863314195850e-03 1.474322145953e-04 1.401531453936e-02)) ((-1.565825643906e-06 -3.819520349026e-01 -9.624878282484e-05) (-3.339631186740e-05 2.074177811689e-02 -2.256731242865e-04))
0.12337             	((-1.949641167923e-01 -1.150941377687e-07 4.322324973273e-03) (-3.617203458740e-03 1.528525600202e-04 1.495367405908e-02)) ((-2.675441879332e-06 -2.490132752933e-01 -1.273099847494e-04) (-3.177451485271e-05 2.221534845485e-02 -2.340276078857e-04))
0.13337             	((-5.078559703802e-01 -2.787270696077e-07 1.313660264251e-02) (-3.450850727876e-03 1.536345420656e-04 1.587034713442e-02)) ((-4.416901998355e-06 -1.150671784262e-01 -1.731971687351e-04) (-2.952696246211e-05 2.366168806976e-02 -2.353687055441e-04))
0.14337             	((-7.830380847199e-01 -3.900679754393e-07 2.332108303446e-02) (-3.327951026731e-03 1.499497995383e-04 1.676145779357e-02)) ((-6.793905557832e-06 2.655668144237e-02 -2.276707250257e-04) (-2.734083219123e-05 2.507738871551e-02 -2.299027167414e-04))
0.15337             	((-1.020300726390e+00 -4.466005357700e-07 3.458627109903e-02) (-3.222503907053e-03 1.406439055276e-04 1.762955693475e-02)) ((-9.776386316176e-06 1.741421113404e-01 -2.861563789532e-04) (-2.531309093371e-05 2.646836525916e-02 -2.158357898338e-04))
0.16337             	((-1.214796386780e+00 -4.466710242129e-07 4.639434798718e-02) (-3.117499190748e-03 1.244492313868e-04 1.848422742020e-02)) ((-1.343555790473e-05 3.255932211077e-01 -3.486638964067e-04) (-2.232681941708e-05 2.785004847437e-02 -1.912205714981e-04))
0.17337             	((-1.358438481760e+00 -3.977378976364e-07 5.792195443865e-02) (-3.002147265473e-03 1.009315905605e-04 1.932523334840e-02)) ((-1.773097149556e-05 4.809467703923e-01 -4.125403480485e-04) (-1.774125656306e-05 2.922070781491e-02 -1.553975079349e-04))
0.18337             	((-1.448422153944e+00 -3.046730845233e-07 6.838884418316e-02) (-2.869863362347e-03 7.172857686372e-05 2.016552049058e-02)) ((-2.271370210970e-05 6.362407448783e-01 -4.782239603307e-04) (-1.171174184188e-05 3.059807114998e-02 -1.108638149616e-04))
0.19337             	((-1.480711284698e+00 -1.848101407904e-07 7.684480864811e-02) (-2.715837383485e-03 3.777168088759e-05 2.101367992607e-02)) ((-2.838230759571e-05 7.910750080487e-01 -5.449919806131e-04) (-4.550201573516e-06 3.199363811183e-02 -5.902352404398e-05))
0.20337             	((-1.456341468697e+00 -5.282096705076e-08 8.250789758427e-02) (-2.537033797498e-03 -2.400523624353e-06 2.188183796720e-02)) ((-3.443369631852e-05 9.410979755344e-01 -6.071844228066e-04) (4.135441845394e-06 3.342420294655e-02 2.355192458925e-06))
0.21337             	((-1.370550417557e+00 7.398401823429e-08 8.423104841273e-02) (-2.318109659947e-03 -5.342083883502e-05 2.277990428782e-02)) ((-4.028656407496e-05 1.084094307036e+00 -6.564678217758e-04) (1.598792162046e-05 3.490798086330e-02 8.048032351168e-05))
0.22337             	((-1.221260814451e+00 1.756206070974e-07 8.094200625059e-02) (-2.064714276271e-03 -1.091798059965e-04 2.371850382681e-02)) ((-4.680443573074e-05 1.218824789831e+00 -7.088343459628e-04) (2.910921521211e-05 3.645684642245e-02 1.658335676884e-04))
0.23337             	((-1.007350800254e+00 2.349237630759e-07 7.160355394394e-02) (-1.775697383987e-03 -1.528815379053e-04 2.469686689243e-02)) ((-5.139175957001e-05 1.341587645726e+00 -7.274038520780e-04) (3.787450990304e-05 3.806868116400e-02 2.328724841493e-04))
0.24337             	((-7.374690569933e-01 2.364429074459e-07 5.592647886811e-02) (-1.455794523523e-03 -1.883185213502e-04 2.572365802748e-02)) ((-5.552482911248e-05 1.449982797040e+00 -7.383028999089e-04) (4.375740221768e-05 3.975460227052e-02 2.872834915281e-04))
0.25337             	((-4.138511420298e-01 1.683473326613e-07 3.331803848936e-02) (-1.103557912147e-03 -2.217055771497e-04 2.680947037187e-02)) ((-5.974601971282e-05 1.542369541092e+00 -7.499124630506e-04) (4.905016281827e-05 4.153097535631e-02 3.385182831659e-04))
0.26337             	((-3.959244911508e-02 1.947022565275e-08 3.367774676092e-03) (-7.173322054064e-04 -2.550607609540e-04 2.796269138449e-02)) ((-6.405025523863e-05 1.614757570318e+00 -7.623271846173e-04) (5.431555372112e-05 4.341115416529e-02 3.897052787072e-04))
0.27337             	((3.770299224340e-01 -2.171192221156e-07 -3.372966081889e-02) (-2.993241596721e-04 -2.877663692081e-04 2.919284602754e-02)) ((-6.825656174398e-05 1.667743778647e+00 -7.737067244056e-04) (5.901614918776e-05 4.540917225174e-02 4.399443855004e-04))
0.28337             	((8.249188893343e-01 -5.444929187965e-07 -7.727259185064e-02) (1.477620279687e-04 -3.190466253118e-04 3.050982714607e-02)) ((-7.225013126217e-05 1.699756656207e+00 -7.832790646909e-04) (6.248018895236e-05 4.753941024079e-02 4.881110439626e-04))
0.29337             	((1.294874262006e+00 -9.646836774012e-07 -1.264569685976e-01) (6.225468551207e-04 -3.490673107575e-04 3.192186348403e-02)) ((-7.590611471501e-05 1.712870697890e+00 -7.903182699614e-04) (6.451341941279e-05 4.981410797302e-02 5.344963975380e-04))
0.30337             	((1.781168950930e+00 -1.482276718340e-06 -1.805856919945e-01) (1.124836482520e-03 -3.790494539183e-04 3.343964756540e-02)) ((-7.937992447570e-05 1.706207794727e+00 -7.969520025160e-04) (6.554481411014e-05 5.225034625127e-02 5.809766161122e-04))
0.31337             	((2.269388259813e+00 -2.094682673481e-06 -2.378709562605e-01) (1.654729066044e-03 -4.103484857609e-04 3.507004373855e-02)) ((-8.321986395517e-05 1.683767780807e+00 -8.087794509614e-04) (6.573311786534e-05 5.485985104236e-02 6.296665243540e-04))
0.32337             	((2.749554434801e+00 -2.801440012423e-06 -2.967293959816e-01) (2.211995753735e-03 -4.442087809000e-04 3.681735591038e-02)) ((-8.757004562933e-05 1.644718636315e+00 -8.269695931604e-04) (6.542246951781e-05 5.765096903687e-02 6.824810857926e-04))
0.33337             	((3.206804207028e+00 -3.592281058956e-06 -3.548613289041e-01) (2.796430048166e-03 -4.804928913171e-04 3.867979336773e-02)) ((-9.160069272038e-05 1.594344586554e+00 -8.439150626148e-04) (6.469318445462e-05 6.062260370605e-02 7.392251139172e-04))
0.34337             	((3.632779295014e+00 -4.458920876344e-06 -4.105236568064e-01) (3.404396447173e-03 -5.178351826540e-04 4.064029965758e-02)) ((-9.580444753524e-05 1.535837198745e+00 -8.644680616950e-04) (6.372828590625e-05 6.374972874873e-02 7.978059512365e-04))
0.35337             	((4.015573745294e+00 -5.385608567121e-06 -4.615076504469e-01) (4.029925463213e-03 -5.555424132055e-04 4.267744136723e-02)) ((-1.000587958606e-04 1.474065424420e+00 -8.878123961303e-04) (6.265884423187e-05 6.700033464962e-02 8.571762515364e-04))
