# Forces            
# CofR              : (1.500000000000e+00 0.000000000000e+00 5.000000000000e-01)
# Time              forces(pressure viscous)	moments(pressure viscous)
0                   	((0.000000000000e+00 0.000000000000e+00 0.000000000000e+00) (-4.116096405870e-01 -2.528238953072e-06 3.772925259882e-05)) ((0.000000000000e+00 0.000000000000e+00 0.000000000000e+00) (-4.034231192217e-06 -1.788818470660e-01 -6.609561099726e-02))
0.00667             	((-1.311453375807e+02 1.588164603351e-01 -3.286043394451e+02) (-3.864313261203e-01 8.878489808136e-02 -1.605127251854e-02)) ((5.240416550102e+01 -5.049043616957e+02 -1.219124887584e+01) (-3.583652501252e-02 -1.889177206839e-01 -1.824639642698e-01))
0.01334             	((7.294510757141e+01 -7.113756987895e-02 2.264721825879e+02) (-2.931954274790e-01 6.461208668822e-02 -4.314368046525e-03)) ((-3.596569208864e+01 3.412772580975e+02 7.490657386028e+00) (-2.723288706241e-02 -1.325493350012e-01 -1.348019675119e-01))
0.02001             	((-1.226835145739e+01 1.121401123599e-02 -2.427001644270e+01) (-2.748882958581e-01 6.393750762079e-02 -1.135979277471e-03)) ((3.889072386436e+00 -3.867158020697e+01 -1.328067620026e+00) (-2.749299843044e-02 -1.204098584870e-01 -1.309586839629e-01))
0.02668             	((-4.574547104926e+00 9.836975819441e-03 5.157934801975e+00) (-2.853714293613e-01 6.892308919846e-02 8.188491296241e-04)) ((-7.946097336546e-01 5.157436678036e+00 -2.794396828858e-01) (-2.999484134722e-02 -1.223743112555e-01 -1.394748171898e-01))
0.03335             	((5.151540444346e+00 -2.615111491828e-03 3.900304000475e+01) (-2.793429714760e-01 6.674576684633e-02 5.162751961294e-03)) ((-6.199547840706e+00 5.555174799632e+01 6.037889800990e-01) (-2.978860543749e-02 -1.139827758509e-01 -1.356310755565e-01))
0.04002             	((-1.064214978839e+00 4.199052077824e-03 1.219488489630e+01) (-2.770465008382e-01 6.672067685318e-02 7.932400332117e-03)) ((-1.952908540890e+00 1.607941176818e+01 -1.786327955961e-02) (-3.025480730907e-02 -1.093018514145e-01 -1.352932497015e-01))
0.04669             	((1.408052683660e-01 3.409542028477e-03 1.939171449316e+01) (-2.757796471452e-01 6.683143431053e-02 1.074786556420e-02)) ((-3.116020525777e+00 2.643705840782e+01 1.275009986647e-01) (-3.078038699341e-02 -1.049682727388e-01 -1.352972879769e-01))
0.05336             	((7.384118369108e-01 2.705395905687e-03 2.029536393707e+01) (-2.734254238476e-01 6.647408912952e-02 1.360095271088e-02)) ((-3.276787213816e+00 2.788532122645e+01 1.841077971020e-01) (-3.110403657074e-02 -1.000832385503e-01 -1.344779288082e-01))
0.06003             	((3.596372020592e-01 3.239799631275e-03 1.785024310955e+01) (-2.716258234610e-01 6.632734860980e-02 1.613872234666e-02)) ((-2.905292188167e+00 2.431736741348e+01 1.514887016184e-01) (-3.146099313765e-02 -9.583664850128e-02 -1.340231453891e-01))
0.0667              	((5.973694507926e-01 3.141451941655e-03 1.928461138500e+01) (-2.699723741785e-01 6.617698253564e-02 1.871467740507e-02)) ((-3.150388156382e+00 2.634125237353e+01 1.848517925030e-01) (-3.181729744813e-02 -9.157715427558e-02 -1.335779969424e-01))
0.07337             	((7.158696108626e-01 3.121913047658e-03 1.814490337129e+01) (-2.683940201741e-01 6.602723649187e-02 2.113566225384e-02)) ((-2.985283625720e+00 2.478084020386e+01 2.018433314367e-01) (-3.214235421889e-02 -8.753362559507e-02 -1.331379724677e-01))
0.08337             	((8.540447565914e-01 3.213337724017e-03 1.777701111677e+01) (-2.651621126409e-01 6.582133790975e-02 2.484383864892e-02)) ((-2.954876655985e+00 2.425848399571e+01 2.283324164570e-01) (-3.263170814159e-02 -8.092571218798e-02 -1.323543780360e-01))
0.09337             	((1.083912177181e+00 3.221768275357e-03 1.770994193640e+01) (-2.634635390201e-01 6.576647388330e-02 2.835908219229e-02)) ((-2.965583514194e+00 2.419597121799e+01 2.667293626379e-01) (-3.314261601927e-02 -7.519381992644e-02 -1.320139917141e-01))
0.10337             	((1.274840226009e+00 3.243139323417e-03 1.695555883116e+01) (-2.619207077911e-01 6.574397824070e-02 3.157715329668e-02)) ((-2.865985719883e+00 2.317085712817e+01 2.997967168335e-01) (-3.360337184833e-02 -6.987039291880e-02 -1.317302247742e-01))
