# Forces            
# CofR              : (1.500000000000e+00 0.000000000000e+00 5.000000000000e-01)
# Time              forces(pressure viscous)	moments(pressure viscous)
0                   	((0.000000000000e+00 0.000000000000e+00 0.000000000000e+00) (-1.202465188841e+00 5.294885947394e-02 -4.365441925972e-07)) ((0.000000000000e+00 0.000000000000e+00 0.000000000000e+00) (-1.455266726235e-03 -3.075813868954e-02 2.593666438372e-01))
0.00667             	((-8.455286965316e+02 5.548457358159e+03 9.198903145935e-03) (-1.261558043554e+00 -1.114115790708e-01 1.973769552526e-02)) ((-1.943970679492e+02 -3.272777517954e+01 -7.323844293519e+03) (6.180023212789e-03 -8.028754700570e-03 5.152288100144e-01))
0.01334             	((4.253530723973e+02 -2.746142012104e+03 -4.250026909931e-02) (-9.370447318556e-01 -1.194417766384e-01 3.575448753781e-02)) ((7.665845876329e+01 1.423673771062e+01 3.631936455822e+03) (1.159307400532e-02 2.099096235552e-02 4.349981202598e-01))
0.02001             	((-6.175584776263e+01 3.764729125509e+02 1.840274470568e-02) (-8.615898322737e-01 -1.167523616221e-01 5.048394703388e-02)) ((-2.373880661453e+01 -3.648349976896e+00 -4.975633090679e+02) (1.587688187750e-02 3.989648922938e-02 4.101619902297e-01))
0.02668             	((-3.802607533143e+01 2.443188031339e+02 2.604766798725e-02) (-8.816280914796e-01 -1.168230672968e-01 6.647789359385e-02)) ((-1.763815433599e+01 -2.395623271862e+00 -3.219532910206e+02) (2.047958340387e-02 5.804220694278e-02 4.164408108354e-01))
0.03335             	((2.610693268274e+01 -1.805671165715e+02 -3.428115594092e-02) (-8.478477286584e-01 -1.130755128469e-01 8.307883268592e-02)) ((-3.875051413903e+00 -1.466049119459e-01 2.408293532038e+02) (2.528822070463e-02 7.925102188620e-02 4.019030469425e-01))
0.04002             	((-1.085123678231e+01 5.838728620324e+01 1.977568605046e-02) (-8.282161566369e-01 -1.095372928013e-01 9.867140774258e-02)) ((-1.151362229721e+01 -1.432586825221e+00 -7.608117324588e+01) (2.974503973113e-02 9.874652556073e-02 3.915494334761e-01))
0.04669             	((-5.628899051901e+00 2.725926851616e+01 1.439265450077e-02) (-8.127375134600e-01 -1.070168180254e-01 1.141887440696e-01)) ((-1.039430908409e+01 -1.219856140635e+00 -3.475059013165e+01) (3.417944254983e-02 1.182867088609e-01 3.837600592303e-01))
0.05336             	((-2.089215638855e+00 4.101266973289e+00 6.684028076728e-03) (-7.945232277790e-01 -1.046258386308e-01 1.292682105600e-01)) ((-9.370033877151e+00 -1.070961446963e+00 -4.000355202779e+00) (3.848013412337e-02 1.375849058819e-01 3.753641563867e-01))
0.06003             	((-4.895546364104e+00 2.263457966263e+01 2.286391448641e-02) (-7.789071371038e-01 -1.024404126011e-01 1.437503338254e-01)) ((-9.707387788612e+00 -1.122368858504e+00 -2.866469951015e+01) (4.258365909710e-02 1.561728189496e-01 3.680038732549e-01))
0.0667              	((-4.300527417657e+00 1.922697891843e+01 2.549199485528e-02) (-7.646620049495e-01 -1.004377359400e-01 1.580213830679e-01)) ((-9.421966365580e+00 -1.078634814686e+00 -2.413925198909e+01) (4.659864037870e-02 1.746407170535e-01 3.612946841156e-01))
0.07337             	((-4.250189713530e+00 1.900497031887e+01 3.127907895797e-02) (-7.514453306602e-01 -9.851901573246e-02 1.717156115296e-01)) ((-9.038200389583e+00 -1.026866719374e+00 -2.385664203531e+01) (5.042460103658e-02 1.924657918953e-01 3.549985190072e-01))
0.08337             	((-4.608859929809e+00 2.169741165132e+01 4.504229202362e-02) (-7.338320330142e-01 -9.534834719482e-02 1.882130989438e-01)) ((-8.666529035740e+00 -9.750552888895e-01 -2.747924490538e+01) (5.486520102699e-02 2.145179441521e-01 3.458342592342e-01))
0.09337             	((-4.746121815150e+00 2.289705855647e+01 5.917664924939e-02) (-7.194447384857e-01 -9.254812276920e-02 2.071953733097e-01)) ((-8.143270477920e+00 -8.863500308841e-01 -2.910332128556e+01) (6.005538834327e-02 2.395589277174e-01 3.381004184049e-01))
0.10337             	((-4.989761064374e+00 2.463040567927e+01 7.707802024252e-02) (-7.072277599845e-01 -9.026995818516e-02 2.252019639719e-01)) ((-7.625915376143e+00 -8.053355049000e-01 -3.145583018927e+01) (6.495560392207e-02 2.635659487224e-01 3.316715381594e-01))
0.11337             	((-5.222732279464e+00 2.639252178159e+01 9.761010904340e-02) (-6.969736992522e-01 -8.844297774132e-02 2.426209382961e-01)) ((-7.176942532425e+00 -7.306248444270e-01 -3.385264351576e+01) (6.965846387400e-02 2.870859497214e-01 3.264020300581e-01))
0.12337             	((-5.446004169016e+00 2.807879839616e+01 1.208301384393e-01) (-6.884290489466e-01 -8.690061020576e-02 2.593052520052e-01)) ((-6.567260938431e+00 -6.291025812013e-01 -3.615422948351e+01) (7.411182051578e-02 3.099193360498e-01 3.220050249268e-01))
0.13337             	((-5.672538177190e+00 2.980183293694e+01 1.470146891968e-01) (-6.814342603215e-01 -8.559997319921e-02 2.754413845368e-01)) ((-5.997275883861e+00 -5.279033612541e-01 -3.851188019385e+01) (7.836368173719e-02 3.323341538021e-01 3.183815720788e-01))
0.14337             	((-5.891797357748e+00 3.143475015586e+01 1.759563389325e-01) (-6.758116288853e-01 -8.448985810432e-02 2.910086857925e-01)) ((-5.354679003137e+00 -4.125475330701e-01 -4.075633326455e+01) (8.241050361822e-02 3.543069933652e-01 3.154138793158e-01))
0.15337             	((-6.092329138569e+00 3.290125155465e+01 2.071964523162e-01) (-6.713877351797e-01 -8.356305880818e-02 3.060269505542e-01)) ((-4.682416389676e+00 -2.886258427234e-01 -4.278527495362e+01) (8.626272513846e-02 3.758755869285e-01 3.130427724945e-01))
0.16337             	((-6.274605478350e+00 3.421424993118e+01 2.405040005349e-01) (-6.679973080628e-01 -8.280793998077e-02 3.205836303898e-01)) ((-3.986365001433e+00 -1.561799400219e-01 -4.461476082185e+01) (8.994580960336e-02 3.971759941216e-01 3.112049732567e-01))
0.17337             	((-6.431798725278e+00 3.530351972991e+01 2.753020080479e-01) (-6.654624143442e-01 -8.219657662697e-02 3.346646075652e-01)) ((-3.243588578448e+00 -1.238445856633e-02 -4.615020620416e+01) (9.345727346927e-02 4.182010666413e-01 3.098117659278e-01))
0.18337             	((-6.559599888934e+00 3.615623109543e+01 3.109565303049e-01) (-6.636197641190e-01 -8.171024409219e-02 3.483545882329e-01)) ((-2.491326985152e+00 1.368332169073e-01 -4.737275930392e+01) (9.682121595255e-02 4.390862736269e-01 3.087914334696e-01))
0.19337             	((-6.657923876465e+00 3.675263449212e+01 3.469367477361e-01) (-6.622975758556e-01 -8.131512676795e-02 3.616696954446e-01)) ((-1.706978221489e+00 2.941389764825e-01 -4.825501958817e+01) (1.000445010566e-01 4.598720438563e-01 3.080492899439e-01))
0.20337             	((-6.722583665920e+00 3.706354091450e+01 3.824305891299e-01) (-6.613310457640e-01 -8.099021365626e-02 3.746552016143e-01)) ((-9.117196359612e-01 4.557641808464e-01 -4.875663182102e+01) (1.031407766490e-01 4.806394259545e-01 3.075095521397e-01))
0.21337             	((-6.752112471131e+00 3.708291513396e+01 4.166821971237e-01) (-6.605542307880e-01 -8.071170788594e-02 3.873519182523e-01)) ((-1.047899613231e-01 6.208352266163e-01 -4.886834378757e+01) (1.061221133379e-01 5.014612031797e-01 3.070914593892e-01))
0.22337             	((-6.743596768386e+00 3.679535190528e+01 4.487880193242e-01) (-6.597988037743e-01 -8.046194370025e-02 3.997852541145e-01)) ((7.109881806582e-01 7.876637858096e-01 -4.856878637159e+01) (1.089964757050e-01 5.223847869665e-01 3.067215673379e-01))
0.23337             	((-6.694198511841e+00 3.619601328558e+01 4.777836657736e-01) (-6.589065333384e-01 -8.023471766203e-02 4.120001675422e-01)) ((1.522065918230e+00 9.524435139210e-01 -4.785030247626e+01) (1.117765504409e-01 5.434820998286e-01 3.063446078592e-01))
0.24337             	((-6.604132526756e+00 3.529422476993e+01 5.028846843871e-01) (-6.577214757578e-01 -8.002523466554e-02 4.240164603200e-01)) ((2.331113546838e+00 1.114390862138e+00 -4.672518160535e+01) (1.144671670591e-01 5.647846655694e-01 3.059073592952e-01))
0.25337             	((-6.471815256915e+00 3.408845796199e+01 5.231794439888e-01) (-6.561013577165e-01 -7.983210581565e-02 4.358584618435e-01)) ((3.129620357864e+00 1.270899298721e+00 -4.519022053984e+01) (1.170720145192e-01 5.863280855589e-01 3.053654671322e-01))
0.26337             	((-6.299516881037e+00 3.259766437578e+01 5.380816345906e-01) (-6.539188680415e-01 -7.964991874899e-02 4.475403673509e-01)) ((3.909245391017e+00 1.419646667029e+00 -4.327002514715e+01) (1.195939181237e-01 6.081289881010e-01 3.046739794212e-01))
0.27337             	((-6.089363187088e+00 3.083723530186e+01 5.470839666283e-01) (-6.510648952240e-01 -7.947463098361e-02 4.590660898074e-01)) ((4.666391856398e+00 1.559458623531e+00 -4.098454811689e+01) (1.220330030289e-01 6.301842481220e-01 3.037946337559e-01))
0.28337             	((-5.846432671012e+00 2.884493262757e+01 5.500521222627e-01) (-6.474506127363e-01 -7.929891137414e-02 4.704335851645e-01)) ((5.394040384488e+00 1.688936897398e+00 -3.838390932824e+01) (1.243899801831e-01 6.524767040119e-01 3.026909684606e-01))
