# y+ ()             
# Time              	patch               	min                 	max                 	average             
0                   	YMAX	2.380124461011e+00	1.399348517230e+03	2.923140945211e+02
0                   	ZMIN	5.691924658364e+00	1.184583641170e+01	1.053036374607e+01
0                   	bc_aft	1.613502602318e-03	1.332289583490e-01	4.863376844589e-02
0                   	bc_bow	5.352787229175e-03	6.508262138826e-02	5.224593115259e-02
0                   	bc_deck	6.452976238849e-03	2.553742606346e-02	1.708766619221e-02
0                   	bc_duct	1.244748340351e-02	6.836013285167e-02	3.166727463383e-02
0                   	bc_headbox	1.508608875799e-02	7.041689616317e-02	3.832874964050e-02
0                   	bc_hull	2.348483360682e-03	6.476320023956e-02	4.413286352201e-02
0                   	bc_hull_coarse	8.359579018462e-03	1.681516568187e-02	1.316624059480e-02
0                   	bc_rudder	9.908705171781e-03	7.527821210659e-02	3.888985296188e-02
0                   	bc_shaft	1.674978205586e-02	6.419358038418e-02	3.367319956400e-02
0                   	bc_skeg	4.293117490938e-02	1.050482863289e-01	6.390907086063e-02
0                   	bc_transom	6.495030617659e-03	1.694638609767e-02	1.107995908560e-02
0                   	bc_wake	1.300893903488e-02	1.012665524445e-01	5.272627861694e-02
1.53                	YMAX	1.949531024543e+00	1.377422098282e+03	2.773503813012e+02
1.53                	ZMIN	6.544007603445e-01	6.019178614842e+01	3.900854280158e+00
1.53                	bc_aft	9.753918690100e-02	3.637852209653e+01	5.350456214834e+00
1.53                	bc_bow	9.274130587965e-02	1.411054067546e+01	5.535896990939e+00
1.53                	bc_deck	2.366085266471e-01	3.060314647096e+00	1.750143054943e+00
1.53                	bc_duct	1.729514356785e-01	2.510192898294e+01	5.412336604442e+00
1.53                	bc_headbox	1.896554458451e-01	1.554531944692e+01	4.001568236872e+00
1.53                	bc_hull	3.705816242717e-02	1.120409604958e+01	4.175654864884e+00
1.53                	bc_hull_coarse	4.569667097862e-01	2.219151746540e+00	1.116363609862e+00
1.53                	bc_rudder	7.355100093449e-02	4.170617608461e+01	7.701667800734e+00
1.53                	bc_shaft	8.255639173048e-01	1.058801936569e+01	5.838401541391e+00
1.53                	bc_skeg	1.606706511744e+00	1.404654257769e+01	4.374276482821e+00
1.53                	bc_transom	1.289663387394e-01	1.191967765343e+01	1.005076005076e+00
1.53                	bc_wake	1.898836572782e-01	2.170183245370e+01	5.673834915722e+00
3.06                	YMAX	1.578904746436e+00	1.359374529209e+03	2.639267137789e+02
3.06                	ZMIN	3.588315994028e-01	3.278276838931e+01	2.223736677142e+00
3.06                	bc_aft	5.025577605893e-02	3.716254805402e+01	6.688230684602e+00
3.06                	bc_bow	2.356510324807e-01	1.664420978423e+01	7.580939069435e+00
3.06                	bc_deck	2.855778270465e-01	4.125995530254e+00	2.236057204054e+00
3.06                	bc_duct	1.379051920150e-01	3.079027051996e+01	6.209089615651e+00
3.06                	bc_headbox	3.141586651221e-01	1.614251685746e+01	3.694872888744e+00
3.06                	bc_hull	3.893866198870e-02	1.261045781694e+01	5.406732912835e+00
3.06                	bc_hull_coarse	5.646291534293e-01	2.795597128095e+00	1.374821123723e+00
3.06                	bc_rudder	1.148527930262e-01	2.784402376738e+01	7.957101306415e+00
3.06                	bc_shaft	4.860943079693e-01	8.384860585109e+00	3.956433322764e+00
3.06                	bc_skeg	2.298868769350e+00	2.348291483386e+01	6.961658313958e+00
3.06                	bc_transom	1.375231345987e-01	2.523942494660e+01	1.206516526618e+00
3.06                	bc_wake	7.937180128821e-02	2.401878352092e+01	7.245669159290e+00
4.59                	YMAX	1.267006238191e+00	1.347508288153e+03	2.519817533348e+02
4.59                	ZMIN	4.636917124089e-01	1.581778269229e+01	2.628351047947e+00
4.59                	bc_aft	1.111508493417e-01	5.107380552088e+01	8.249482916761e+00
4.59                	bc_bow	2.537892713942e-01	1.951558680948e+01	9.713441443047e+00
4.59                	bc_deck	3.047372527176e-01	4.854085326994e+00	2.542124638820e+00
4.59                	bc_duct	2.446800783094e-01	3.704434198178e+01	8.094797538231e+00
4.59                	bc_headbox	6.087688834319e-01	2.018365316073e+01	4.830033722733e+00
4.59                	bc_hull	4.969126935573e-02	1.542073427292e+01	6.664032053021e+00
4.59                	bc_hull_coarse	7.032041264873e-01	3.639557300909e+00	1.563582337541e+00
4.59                	bc_rudder	9.306518121497e-02	3.765682409724e+01	9.739297053346e+00
4.59                	bc_shaft	5.360924313097e-01	1.025401628459e+01	4.254651507757e+00
4.59                	bc_skeg	1.071529783631e+00	3.124924643099e+01	7.437717048142e+00
4.59                	bc_transom	1.224129768743e-01	1.446883608283e+01	1.043962782865e+00
4.59                	bc_wake	1.596045787666e-01	3.194507956049e+01	8.877267682333e+00
6.12                	YMAX	1.008979625114e+00	1.342229571888e+03	2.412236627919e+02
6.12                	ZMIN	4.928822971393e-01	1.676207361987e+01	3.477856865405e+00
6.12                	bc_aft	5.766272427053e-02	6.415926917728e+01	9.957998586303e+00
6.12                	bc_bow	2.233620665302e-01	2.305315740938e+01	1.193311482140e+01
6.12                	bc_deck	3.277813436257e-01	5.451249763297e+00	2.776097017760e+00
6.12                	bc_duct	3.674223717337e-01	6.745695395811e+01	1.025679794067e+01
6.12                	bc_headbox	6.546761137074e-01	2.334863952980e+01	5.451147566588e+00
6.12                	bc_hull	4.693863644399e-02	1.737704679475e+01	8.099722282188e+00
6.12                	bc_hull_coarse	7.418448738278e-01	4.156339950421e+00	1.730558595830e+00
6.12                	bc_rudder	1.638196996128e-01	4.693238732723e+01	1.255086725986e+01
6.12                	bc_shaft	5.178042326078e-01	1.246715712447e+01	4.667241239972e+00
6.12                	bc_skeg	9.574933701653e-01	3.524624693877e+01	6.527977547172e+00
6.12                	bc_transom	1.113674029314e-01	1.506295311977e+01	1.071490745345e+00
6.12                	bc_wake	1.465880155254e-01	3.921699143760e+01	1.054954450812e+01
