# Forces            
# CofR              : (1.500000000000e+00 0.000000000000e+00 5.000000000000e-01)
# Time              forces(pressure viscous)	moments(pressure viscous)
0                   	((0.000000000000e+00 0.000000000000e+00 0.000000000000e+00) (-2.344605146744e-02 4.975737320359e-09 -2.123891013821e-12)) ((0.000000000000e+00 0.000000000000e+00 0.000000000000e+00) (2.458335817946e-09 1.141069432138e-02 -5.861625454265e-03))
0.00667             	((-2.775067830033e-05 7.989568687246e+01 9.995527629800e-07) (-2.884877559968e-02 2.375127573657e-03 6.065855446473e-03)) ((3.880429148479e+01 1.699106444917e-05 -1.128682432018e+02) (-3.426016362632e-04 2.268474883890e-02 -1.051105861749e-02))
0.01334             	((2.045938075239e-05 -4.445274426627e+01 -9.904893794564e-06) (-2.220960635333e-02 5.416119891681e-04 3.711313783650e-03)) ((-2.159849807045e+01 -2.518996620349e-05 6.274207931712e+01) (-6.533449327191e-04 1.612351408944e-02 -6.314471567113e-03))
0.02001             	((-1.162013111065e-06 3.874197129662e+00 1.622110296100e-06) (-2.025043105226e-02 5.878414215673e-04 3.295633461554e-03)) ((1.875632499256e+00 2.937440968263e-06 -5.546286197253e+00) (-5.309320662838e-04 1.459055829963e-02 -5.896653402847e-03))
0.02668             	((-3.470983475302e-08 1.460867458066e+00 1.055857438450e-06) (-2.052333497472e-02 5.819637965301e-04 3.334690826327e-03)) ((7.064755642281e-01 1.524036202643e-06 -2.131024540531e+00) (-5.437988341894e-04 1.479010506473e-02 -5.961148100112e-03))
0.03335             	((3.923540142773e-06 -5.484985397726e+00 -3.298481863541e-06) (-1.977496786354e-02 2.711988208551e-04 2.934580226392e-03)) ((-2.675229233524e+00 -6.743786913223e-06 7.696141594638e+00) (-5.966980331947e-04 1.386936962528e-02 -5.343311140841e-03))
0.04002             	((1.473969649399e-06 -1.273275183360e+00 -7.108257831690e-07) (-1.923576414296e-02 1.470174964657e-04 2.771221338873e-03)) ((-6.253115965846e-01 -1.763953221426e-06 1.741493959686e+00) (-6.173208820368e-04 1.338624974051e-02 -5.035080042212e-03))
0.04669             	((2.078040145057e-06 -1.980939835196e+00 -1.572675181070e-06) (-1.885034683037e-02 2.902676174778e-05 2.628908837596e-03)) ((-9.712689699438e-01 -3.292311638456e-06 2.743981270496e+00) (-6.399702436264e-04 1.301003875357e-02 -4.773651675749e-03))
0.05336             	((2.355169511041e-06 -2.233635847799e+00 -2.141743123563e-06) (-1.843048150554e-02 -7.045851599715e-05 2.500125165080e-03)) ((-1.095802956073e+00 -4.238429084160e-06 3.108355317522e+00) (-6.570201880995e-04 1.263688515254e-02 -4.528863839771e-03))
0.06003             	((2.119560104545e-06 -1.827002436131e+00 -1.956188576101e-06) (-1.806863403746e-02 -1.359838921097e-04 2.415934726602e-03)) ((-8.984072396786e-01 -3.845077695400e-06 2.535523041226e+00) (-6.685435997014e-04 1.235636507763e-02 -4.345587475670e-03))
0.0667              	((2.257183762780e-06 -1.904950361857e+00 -2.297160116630e-06) (-1.776324624538e-02 -1.908855293496e-04 2.349974870115e-03)) ((-9.381240209548e-01 -4.396314646417e-06 2.648810613151e+00) (-6.794058713822e-04 1.213089064054e-02 -4.191161409378e-03))
0.07337             	((2.175927737635e-06 -1.766952819779e+00 -2.334539421148e-06) (-1.747658727768e-02 -2.259772995445e-04 2.307599065786e-03)) ((-8.718783060712e-01 -4.406369323508e-06 2.458263385331e+00) (-6.864389437909e-04 1.194902157371e-02 -4.068958945520e-03))
0.08337             	((2.093633224397e-06 -1.634245210262e+00 -2.407771167224e-06) (-1.718936950188e-02 -2.683278270618e-04 2.217460231200e-03)) ((-8.090824472519e-01 -4.467878032430e-06 2.274825938397e+00) (-6.853521501209e-04 1.171183019208e-02 -3.936814090677e-03))
0.09337             	((1.978773386526e-06 -1.522119794057e+00 -2.457428515225e-06) (-1.686673815775e-02 -2.910582581121e-04 2.214340406136e-03)) ((-7.563418936874e-01 -4.481631287999e-06 2.120866523533e+00) (-6.964161713363e-04 1.158264041431e-02 -3.823052515968e-03))
0.10337             	((1.807314607734e-06 -1.365894579444e+00 -2.365804621116e-06) (-1.658830922516e-02 -2.991595676895e-04 2.237635794971e-03)) ((-6.815861126418e-01 -4.266426649667e-06 1.903569974577e+00) (-7.069102370413e-04 1.151535793833e-02 -3.740849731563e-03))
0.11337             	((1.666803567675e-06 -1.263213446502e+00 -2.313725870933e-06) (-1.636470599976e-02 -3.041100810242e-04 2.277445051279e-03)) ((-6.332000009506e-01 -4.124404825692e-06 1.761396737542e+00) (-7.200350977886e-04 1.150177116842e-02 -3.676981585072e-03))
0.12337             	((1.456586076419e-06 -1.097898507488e+00 -2.091164729083e-06) (-1.618026234886e-02 -3.019561740215e-04 2.338398757831e-03)) ((-5.532116168318e-01 -3.702753338523e-06 1.529726872105e+00) (-7.349624453160e-04 1.154066383827e-02 -3.633080665244e-03))
0.13337             	((1.283117296855e-06 -9.753621656209e-01 -1.905108529570e-06) (-1.604571345426e-02 -2.993268963350e-04 2.413423187182e-03)) ((-4.942533722387e-01 -3.351364812778e-06 1.357773401414e+00) (-7.532278135766e-04 1.162781827778e-02 -3.602543453742e-03))
0.14337             	((1.093265623090e-06 -8.292410229618e-01 -1.632205743115e-06) (-1.595476580242e-02 -2.945790583834e-04 2.504764305721e-03)) ((-4.229589450066e-01 -2.865660653646e-06 1.151360319288e+00) (-7.745650906731e-04 1.176350382602e-02 -3.586100978275e-03))
0.15337             	((9.203254891459e-07 -6.917367039401e-01 -1.347122475889e-06) (-1.590847671557e-02 -2.897411205768e-04 2.609255715998e-03)) ((-3.554722574100e-01 -2.369432993036e-06 9.562415851711e-01) (-7.991970925380e-04 1.194409049861e-02 -3.581133191604e-03))
0.16337             	((7.696604869529e-07 -5.649104111666e-01 -1.063854373868e-06) (-1.590946213143e-02 -2.860439006867e-04 2.725975851584e-03)) ((-2.928515116548e-01 -1.885745293056e-06 7.754288766626e-01) (-8.275214559655e-04 1.217000267917e-02 -3.586496987491e-03))
0.17337             	((6.333186866035e-07 -4.316723147152e-01 -7.578856745592e-07) (-1.595530261449e-02 -2.831842263642e-04 2.855791667447e-03)) ((-2.263462817259e-01 -1.374880188682e-06 5.844302752633e-01) (-8.596029985184e-04 1.244163067990e-02 -3.601953757582e-03))
