# y+ ()             
# Time              	patch               	min                 	max                 	average             
0                   	ZMIN	5.515770345822e+03	5.516769403893e+03	5.515953822810e+03
0                   	bc_deck	1.573769382407e-02	6.859277992296e-02	3.463072056949e-02
0                   	bc_hull	5.904327297299e-03	3.546949797431e-01	2.295567062975e-01
0                   	bc_transom	3.356339406013e-02	4.821457568572e-01	5.923168607626e-02
0.45                	ZMIN	5.350504885596e+03	5.354230111831e+03	5.350751481679e+03
0.45                	bc_deck	4.096841929685e-01	4.751798857254e+00	1.919440619374e+00
0.45                	bc_hull	6.081827280786e-02	5.843487207792e+01	2.524825235448e+01
0.45                	bc_transom	1.171107292113e+00	6.018503098983e+01	4.106788400767e+00
0.9                 	ZMIN	5.193539121560e+03	5.220817089814e+03	5.194215241664e+03
0.9                 	bc_deck	5.142393934815e-01	6.713603072034e+00	2.443209534143e+00
0.9                 	bc_hull	8.939028615983e-02	7.369395644973e+01	4.373733449982e+01
0.9                 	bc_transom	5.719093173821e-01	1.038901121226e+02	5.136531299356e+00
1.35                	ZMIN	5.045242854320e+03	5.128943653828e+03	5.047170968429e+03
1.35                	bc_deck	5.876757359977e-01	8.200349047463e+00	2.788463463156e+00
1.35                	bc_hull	1.127931935411e-01	9.771360699650e+01	5.987191363678e+01
1.35                	bc_transom	6.456998687717e-01	1.440147093251e+02	6.369888405568e+00
1.8                 	ZMIN	4.904504105370e+03	5.081216139862e+03	4.909285209807e+03
1.8                 	bc_deck	6.459067580683e-01	9.441694309097e+00	3.058683430024e+00
1.8                 	bc_hull	1.410607920753e-01	1.216053254519e+02	7.406968064827e+01
1.8                 	bc_transom	3.135036249375e-01	1.818020337200e+02	7.422195288653e+00
2.25                	ZMIN	4.771103056782e+03	5.071717362960e+03	4.780222678143e+03
2.25                	bc_deck	6.955528720174e-01	1.054127897008e+01	3.287868832001e+00
2.25                	bc_hull	9.669851512391e-02	1.452251348345e+02	8.668398641199e+01
2.25                	bc_transom	8.415498641415e-01	2.164102108039e+02	8.430475455093e+00
2.7                 	ZMIN	4.644574405323e+03	5.089556040089e+03	4.659656059512e+03
2.7                 	bc_deck	7.389436426929e-01	1.149945099781e+01	3.483836506480e+00
2.7                 	bc_hull	1.129576001047e-01	1.731113391540e+02	9.820371016837e+01
2.7                 	bc_transom	6.577220186749e-01	2.354087043079e+02	9.217296594364e+00
