# Forces            
# CofR              : (1.500000000000e+00 0.000000000000e+00 5.000000000000e-01)
# Time              forces(pressure viscous)	moments(pressure viscous)
0                   	((0.000000000000e+00 0.000000000000e+00 0.000000000000e+00) (-7.909718886995e+00 2.226741275285e-01 -1.387522736351e-05)) ((0.000000000000e+00 0.000000000000e+00 0.000000000000e+00) (-1.330830425598e-02 -6.634393507175e-01 1.417300529821e+00))
0.00667             	((-9.988943829759e+03 1.467710444760e+04 -9.743079477893e-01) (-9.251568002469e+00 -3.283749641600e-01 2.853346443712e-02)) ((-6.993397411050e+02 -6.991350798163e+02 -2.626431675625e+04) (2.578039342237e-02 -8.014433674524e-01 2.929559807087e+00))
0.01334             	((5.053155851801e+03 -7.211588595170e+03 9.452051817871e-02) (-7.008356932057e+00 -3.895784756672e-01 2.340350438820e-01)) ((9.518546043639e+01 3.301263060767e+02 1.324515870909e+04) (8.297915994013e-02 -5.326234671021e-01 2.499566339474e+00))
0.02001             	((-7.347879982959e+02 1.304179302740e+03 1.630879697031e-01) (-6.536784378854e+00 -3.849165733800e-01 4.929674634138e-01)) ((-2.284445212759e+02 -5.834205144488e+01 -2.021479088917e+03) (1.510407278000e-01 -4.262524254747e-01 2.384918754165e+00))
0.02668             	((-4.348833220171e+02 8.455422365170e+02 2.706782481700e-01) (-6.773202489901e+00 -3.903460035413e-01 7.648367826976e-01)) ((-1.812956351559e+02 -3.705543840375e+01 -1.216517112572e+03) (2.230668093925e-01 -3.785589221874e-01 2.466800266935e+00))
0.03335             	((3.249577843998e+02 -2.357937656401e+02 -3.662153909724e-01) (-6.580912788357e+00 -3.865426152348e-01 1.020976859642e+00)) ((-1.379701657930e+02 1.643977961768e+01 7.715549197949e+02) (2.905254586159e-01 -2.877628252457e-01 2.418043973891e+00))
0.04002             	((-1.135105673177e+02 3.987069634688e+02 2.138514585442e-01) (-6.496118463442e+00 -3.778220406911e-01 1.278722724851e+00)) ((-1.656994742953e+02 -1.382487866698e+01 -3.822574359136e+02) (3.579721283610e-01 -2.061933441333e-01 2.389157044796e+00))
0.04669             	((-5.170492770105e+01 3.162389775062e+02 1.443008287893e-01) (-6.442691449007e+00 -3.713758787257e-01 1.534491428222e+00)) ((-1.599450978636e+02 -8.735314498705e+00 -2.220494264504e+02) (4.251851090652e-01 -1.260937876275e-01 2.372786310695e+00))
0.05336             	((-9.841270753591e+00 2.629984992642e+02 4.240689175547e-02) (-6.366766205361e+00 -3.650818509052e-01 1.783991960820e+00)) ((-1.546830130770e+02 -5.469539333028e+00 -1.149405331464e+02) (4.908458940253e-01 -4.319981794780e-02 2.350947811300e+00))
0.06003             	((-4.310843157364e+01 3.186062182340e+02 2.127022766287e-01) (-6.309924557790e+00 -3.590310121235e-01 2.030831213807e+00)) ((-1.552000087303e+02 -7.159288892050e+00 -2.056620007426e+02) (5.559195268278e-01 3.844130199057e-02 2.334701016304e+00))
0.0667              	((-3.624463434973e+01 3.182992161409e+02 2.262459293730e-01) (-6.262627944998e+00 -3.534558901783e-01 2.275400293752e+00)) ((-1.532440551357e+02 -6.031769695323e+00 -1.914913576471e+02) (6.205577610971e-01 1.203857688134e-01 2.321849332519e+00))
0.07337             	((-3.506764117536e+01 3.261236457133e+02 2.687520573351e-01) (-6.221574222420e+00 -3.479668794586e-01 2.516042225871e+00)) ((-1.496551452972e+02 -5.418753598412e+00 -1.922641776629e+02) (6.842683866451e-01 2.018969372281e-01 2.310923359276e+00))
0.08337             	((-3.856818682659e+01 3.484116552438e+02 3.866645444834e-01) (-6.156783351758e+00 -3.391725979243e-01 2.807514168999e+00)) ((-1.458212497230e+02 -4.810115622880e+00 -2.084527189093e+02) (7.617541200824e-01 3.081839642002e-01 2.291959858371e+00))
0.09337             	((-3.929964689841e+01 3.665872762347e+02 4.986275326492e-01) (-6.122528728092e+00 -3.299678107653e-01 3.152504703627e+00)) ((-1.400078525749e+02 -3.612269814467e+00 -2.175071323043e+02) (8.534563056748e-01 4.284881947275e-01 2.282446569383e+00))
