# Forces            
# CofR              : (1.500000000000e+00 0.000000000000e+00 5.000000000000e-01)
# Time              forces(pressure viscous)	moments(pressure viscous)
0                   	((0.000000000000e+00 0.000000000000e+00 0.000000000000e+00) (-8.744274491906e-04 2.512102391411e-28 -4.655438288676e-19)) ((0.000000000000e+00 0.000000000000e+00 0.000000000000e+00) (1.381353203746e-19 3.934885881590e-04 -2.629598323795e-04))
0.00667             	((2.346774102984e-05 -3.519481914755e-07 2.434795794987e+00) (-1.041221448943e-03 4.234386643579e-05 9.977627335828e-05)) ((-7.324961864979e-01 3.062072828412e+00 7.502773658439e-06) (-1.102361475146e-05 5.956012083569e-04 -3.693681129300e-04))
0.01334             	((-1.123732613834e-04 4.555556674662e-07 -1.237506303666e+00) (-7.745673763830e-04 3.063476039058e-05 1.090074895885e-04)) ((3.722944540391e-01 -1.558143285883e+00 -3.438023940626e-05) (-1.907696506135e-05 4.864330344623e-04 -2.727780960620e-04))
0.02001             	((3.945966534580e-05 -5.861250942049e-08 1.219481444585e-01) (-7.017947651402e-04 2.656138617473e-05 1.183606351822e-04)) ((-3.668477404410e-02 1.542554184737e-01 1.194450485948e-05) (-2.373221708286e-05 4.658801527563e-04 -2.458788380859e-04))
0.02668             	((5.950980555533e-05 -5.245924613948e-08 8.311428321167e-02) (-7.034541745392e-04 2.811746958805e-05 1.392770338493e-04)) ((-2.500496345254e-02 1.050518469827e-01 1.796985302534e-05) (-2.933960860152e-05 4.934218677062e-04 -2.483222437194e-04))
0.03335             	((-1.414795959703e-04 9.078336969614e-08 -1.129550968464e-01) (-6.664613587377e-04 2.549283953888e-05 1.546481622032e-04)) ((3.398160423690e-02 -1.423736159638e-01 -4.267739065312e-05) (-3.515788824941e-05 4.965637726890e-04 -2.337418502928e-04))
0.04002             	((-5.421024101268e-06 2.632979461909e-09 -2.794254517180e-03) (-6.399662803789e-04 2.080512497083e-05 1.670477502919e-04)) ((8.398568417248e-04 -3.209315571713e-03 -1.632397556080e-06) (-4.101234468259e-05 5.008485803576e-04 -2.198016024400e-04))
0.04669             	((-4.173891327784e-05 1.650025998468e-08 -1.503308606303e-02) (-6.178996999390e-04 1.593350672529e-05 1.792861219179e-04)) ((4.521137624711e-03 -1.871195266039e-02 -1.257334139692e-05) (-4.690731744220e-05 5.070186783475e-04 -2.069502417385e-04))
0.05336             	((-8.457789446325e-05 2.788471637799e-08 -2.250593604909e-02) (-5.943448544748e-04 1.007151084101e-05 1.892067689801e-04)) ((6.768908152440e-03 -2.818819358294e-02 -2.547265831915e-05) (-5.255842210473e-05 5.096750502009e-04 -1.923904440688e-04))
0.06003             	((-5.508005743024e-05 1.551872290590e-08 -1.127818779528e-02) (-5.723041266006e-04 3.971232657861e-06 1.971417072742e-04)) ((3.390647551865e-03 -1.397012759926e-02 -1.657836026653e-05) (-5.772799159373e-05 5.105926703866e-04 -1.779801332824e-04))
