# Forces            
# CofR              : (1.500000000000e+00 0.000000000000e+00 5.000000000000e-01)
# Time              forces(pressure viscous)	moments(pressure viscous)
0                   	((0.000000000000e+00 0.000000000000e+00 0.000000000000e+00) (-1.125846221717e+00 -2.852020256115e-02 4.375460398822e-06)) ((0.000000000000e+00 0.000000000000e+00 0.000000000000e+00) (2.006422775761e-04 -1.329779750203e-02 -2.441041185077e-01))
0.00667             	((7.106521524127e+02 7.387534615692e+03 -1.414005520905e-01) (-1.155852256081e+00 2.312815362453e-01 2.586258378874e-03)) ((-7.732821189285e+01 5.697226220355e+00 -9.838109472877e+03) (8.719191490096e-04 -1.376524323977e-02 -5.739777092358e-01))
0.01334             	((-3.253196629017e+02 -3.722447887887e+03 1.092199052383e-01) (-8.621070168449e-01 1.782731499034e-01 9.142780200192e-03)) ((2.447473450590e+01 -1.193133260646e+00 4.982572017611e+03) (-9.119133648755e-04 -2.429067348928e-03 -4.322942867604e-01))
0.02001             	((5.056006429072e+01 5.648355686583e+02 -2.222772462464e-02) (-7.927525693278e-01 1.727207544770e-01 1.931400135558e-02)) ((-1.537338134497e+01 6.240122818440e-01 -7.538919186023e+02) (-3.894740975234e-03 8.966739057431e-03 -4.085675800248e-01))
0.02668             	((4.181329709158e+01 3.404177028969e+02 -3.017288442892e-02) (-8.052680269282e-01 1.854297492948e-01 2.830053354745e-02)) ((-1.039329205719e+01 6.424361530099e-01 -4.474912682673e+02) (-6.539568352305e-03 1.740413767794e-02 -4.277797851194e-01))
0.03335             	((-1.187530932090e+01 -2.136052337644e+02 2.628626638298e-02) (-7.674534174692e-01 1.803593480530e-01 3.646201042804e-02)) ((-3.531147062005e+00 5.669425194831e-02 2.926750678954e+02) (-8.902155997159e-03 2.617076510388e-02 -4.121232516185e-01))
0.04002             	((1.753796491937e+01 1.089259100703e+02 -3.029668627728e-02) (-7.421490965171e-01 1.788840236213e-01 4.511396762666e-02)) ((-8.051928038872e+00 2.771855439829e-01 -1.397336124591e+02) (-1.141784836047e-02 3.542773175488e-02 -4.042488092500e-01))
0.04669             	((1.447532815665e+01 6.442997538826e+01 -3.492713645705e-02) (-7.202585639604e-01 1.781243346120e-01 5.311088007820e-02)) ((-6.779288255370e+00 1.831678851662e-01 -7.960032690093e+01) (-1.373915465090e-02 4.394060809917e-02 -3.980759010255e-01))
0.05336             	((1.159434517727e+01 3.430316577515e+01 -3.789708789435e-02) (-6.958114812807e-01 1.763070733017e-01 6.082586734532e-02)) ((-6.296753486760e+00 1.050193498899e-01 -3.928607388977e+01) (-1.596827108488e-02 5.238192539357e-02 -3.899214745853e-01))
0.06003             	((1.400978796204e+01 5.900426546099e+01 -6.342753661402e-02) (-6.736237645455e-01 1.750114721649e-01 6.822825333654e-02)) ((-6.455068652348e+00 5.305559540752e-02 -7.249113956956e+01) (-1.811940108680e-02 6.052530258019e-02 -3.829887660257e-01))
0.0667              	((1.385624068154e+01 5.478713384991e+01 -7.997836978793e-02) (-6.526487769800e-01 1.738830254276e-01 7.525462167972e-02)) ((-6.029055397312e+00 -2.776317154517e-02 -6.676901932377e+01) (-2.015513342953e-02 6.833955691466e-02 -3.765624069391e-01))
0.07337             	((1.391733316933e+01 5.437949165717e+01 -1.001574701437e-01) (-6.327113782347e-01 1.728363041024e-01 8.198490962775e-02)) ((-5.833082488846e+00 -1.038609666152e-01 -6.625146392326e+01) (-2.211637788992e-02 7.591366817177e-02 -3.704958215112e-01))
