# time              
# Time              	cpu                 	clock               	cpu/step            	clock/step          
0                   	9.677600000000e-01	2	9.084900000000e-02	0.000000000000e+00
0.0045              	2.195746000000e+00	3	1.227994000000e+00	1.000000000000e+00
0.009               	3.246627000000e+00	4	1.050887000000e+00	1.000000000000e+00
0.0135              	4.266794000000e+00	5	1.020175000000e+00	1.000000000000e+00
0.018               	5.319409000000e+00	6	1.052621000000e+00	1.000000000000e+00
0.0225              	6.354385000000e+00	7	1.034983000000e+00	1.000000000000e+00
0.027               	7.380396000000e+00	8	1.026018000000e+00	1.000000000000e+00
0.0315              	8.431168000000e+00	9	1.050780000000e+00	1.000000000000e+00
0.036               	9.456684000000e+00	10	1.025522000000e+00	1.000000000000e+00
0.0405              	1.049285700000e+01	12	1.036181000000e+00	2.000000000000e+00
0.045               	1.155031100000e+01	13	1.057460000000e+00	1.000000000000e+00
0.0495              	1.258302100000e+01	14	1.032718000000e+00	1.000000000000e+00
0.054               	1.360853900000e+01	15	1.025526000000e+00	1.000000000000e+00
0.0585              	1.466308000000e+01	16	1.054548000000e+00	1.000000000000e+00
0.063               	1.570025900000e+01	17	1.037185000000e+00	1.000000000000e+00
0.0675              	1.671915600000e+01	18	1.018905000000e+00	1.000000000000e+00
0.072               	1.778276000000e+01	19	1.063610000000e+00	1.000000000000e+00
0.0765              	1.880331500000e+01	20	1.020567000000e+00	1.000000000000e+00
0.081               	1.983216100000e+01	21	1.028853000000e+00	1.000000000000e+00
0.0855              	2.085864700000e+01	22	1.026493000000e+00	1.000000000000e+00
0.09                	2.191384800000e+01	23	1.055209000000e+00	1.000000000000e+00
0.0945              	2.293455400000e+01	24	1.020714000000e+00	1.000000000000e+00
0.099               	2.395839200000e+01	25	1.023846000000e+00	1.000000000000e+00
0.1035              	2.497461700000e+01	26	1.016232000000e+00	1.000000000000e+00
0.108               	2.600689600000e+01	27	1.032285000000e+00	1.000000000000e+00
0.1125              	2.703180700000e+01	28	1.024919000000e+00	1.000000000000e+00
0.117               	2.805772400000e+01	29	1.025924000000e+00	1.000000000000e+00
0.1215              	2.908108000000e+01	30	1.023364000000e+00	1.000000000000e+00
0.126               	3.010933300000e+01	31	1.028259000000e+00	1.000000000000e+00
0.1305              	3.113448900000e+01	32	1.025163000000e+00	1.000000000000e+00
0.135               	3.215969400000e+01	33	1.025212000000e+00	1.000000000000e+00
