# Forces            
# CofR              : (1.500000000000e+00 0.000000000000e+00 5.000000000000e-01)
# Time              forces(pressure viscous)	moments(pressure viscous)
0                   	((0.000000000000e+00 0.000000000000e+00 0.000000000000e+00) (-3.120944258519e-02 0.000000000000e+00 0.000000000000e+00)) ((0.000000000000e+00 0.000000000000e+00 0.000000000000e+00) (0.000000000000e+00 -1.560485563376e-02 4.357578342496e-06))
0.00667             	((2.159991291938e-03 -3.239347228221e-05 2.241007223570e+02) (-1.680838965626e-02 -1.221394634155e-05 1.719253929518e-03)) ((-5.173622195755e-04 3.227105571089e+02 4.665238413621e-05) (1.135630955438e-05 -6.066301053840e-03 2.222228551553e-05))
0.01334             	((-9.849363621364e-03 3.992876514002e-05 -1.084657454894e+02) (-1.163018523642e-02 -2.666531448563e-05 2.791286862221e-04)) ((7.756673443280e-04 -1.563357054505e+02 -5.762124685220e-05) (1.551021570627e-05 -5.465195958368e-03 4.092920947094e-05))
0.02001             	((5.527901867833e-03 -8.211012958004e-06 1.708370736630e+01) (-1.020675804595e-02 -2.636690134919e-05 -1.613135764959e-04)) ((-3.240555940197e-04 2.466102333062e+01 1.195778675365e-05) (1.370552996252e-05 -5.366402442868e-03 4.006906017022e-05))
0.02668             	((7.935503442369e-03 -6.995319923459e-06 1.108310931930e+01) (-1.013324844375e-02 -2.509829739049e-05 -1.522232288582e-04)) ((-1.347597498976e-04 1.601051488937e+01 1.020183569353e-05) (1.264053400260e-05 -5.312382232262e-03 3.802831533887e-05))
0.03335             	((-6.138371084238e-03 3.938811955752e-06 -4.900779476686e+00) (-9.521078720900e-03 -2.628671998091e-05 7.093232634455e-06)) ((3.132980038047e-05 -7.089074826038e+00 -5.736811206146e-06) (1.311499197952e-05 -4.765754640328e-03 3.943704249918e-05))
0.04002             	((8.082904577805e-03 -3.925836028498e-06 4.166314741736e+00) (-8.902535655469e-03 -2.782918795029e-05 1.572133476790e-04)) ((2.043337088650e-05 6.021644772082e+00 5.634434857876e-06) (1.401775552468e-05 -4.234519216798e-03 4.146163626517e-05))
0.04669             	((8.131064645222e-03 -3.214375640591e-06 2.928561982008e+00) (-8.337558163101e-03 -2.988475197586e-05 3.103489541329e-04)) ((3.070570216793e-05 4.234272849618e+00 4.562264188415e-06) (1.525292035229e-05 -3.725246352386e-03 4.432748617238e-05))
0.05336             	((6.979902703386e-03 -2.301221322625e-06 1.857332165435e+00) (-7.794832361416e-03 -3.225013247332e-05 4.400683633605e-04)) ((1.944113471716e-05 2.684611978975e+00 3.253154827485e-06) (1.659786300148e-05 -3.260212080147e-03 4.769907524883e-05))
0.06003             	((1.178162566565e-02 -3.319451991617e-06 2.412404652249e+00) (-7.312957266792e-03 -3.440264135053e-05 5.425164738856e-04)) ((1.578462032329e-05 3.491867829108e+00 4.727697370857e-06) (1.781842553541e-05 -2.865576692776e-03 5.078861055429e-05))
0.0667              	((1.377992327508e-02 -3.369565341619e-06 2.240399345321e+00) (-6.869568160194e-03 -3.687647703283e-05 6.383352256011e-04)) ((1.187354826480e-06 3.244453697702e+00 4.872362195840e-06) (1.918812595548e-05 -2.499812654094e-03 5.436473531038e-05))
0.07337             	((1.526352563479e-02 -3.278945544664e-06 2.019960618774e+00) (-6.468541125461e-03 -3.930256774277e-05 7.165886099856e-04)) ((3.737103156255e-06 2.926330492506e+00 4.721991543869e-06) (2.052806050551e-05 -2.180907838902e-03 5.791289871282e-05))
0.08337             	((1.902238110686e-02 -3.421754914535e-06 1.918359359581e+00) (-5.876595179615e-03 -4.268092899413e-05 8.432320269902e-04)) ((-1.131164994919e-05 2.781662771318e+00 5.073784912099e-06) (2.236529527687e-05 -1.694598380142e-03 6.293623898481e-05))
0.09337             	((2.198322943131e-02 -3.368940169950e-06 1.748965619684e+00) (-5.418564165150e-03 -4.511171971119e-05 9.531188148512e-04)) ((-5.043187160401e-06 2.537690383251e+00 4.951608261478e-06) (2.367040929325e-05 -1.299419690484e-03 6.661459842894e-05))
0.10337             	((2.451519167407e-02 -3.245191719828e-06 1.581091978309e+00) (-5.017336819347e-03 -4.660555183499e-05 1.038836704353e-03)) ((-5.707079982164e-06 2.295312580981e+00 4.799619279531e-06) (2.446820104146e-05 -9.678652083688e-04 6.893927822301e-05))
0.11337             	((2.745900586704e-02 -3.166822654033e-06 1.467585008965e+00) (-4.658265990268e-03 -4.750389926597e-05 1.109467133353e-03)) ((-1.149386652380e-05 2.131741348479e+00 4.815023933924e-06) (2.495546009199e-05 -6.794842148745e-04 7.040844762285e-05))
0.12337             	((2.816494144239e-02 -2.852396608331e-06 1.270416492616e+00) (-4.342646439477e-03 -4.815311169012e-05 1.163435270962e-03)) ((-1.062374804676e-05 1.845411817387e+00 4.378929022760e-06) (2.531863235270e-05 -4.373330105720e-04 7.148485398399e-05))
0.13337             	((2.910283716444e-02 -2.596160519903e-06 1.125104413253e+00) (-4.061781406445e-03 -4.984331355033e-05 1.206615325952e-03)) ((-1.256485543672e-05 1.634345924953e+00 4.096239650112e-06) (2.615912006090e-05 -2.284424679534e-04 7.403473776431e-05))
0.14337             	((2.807139628147e-02 -2.211667231109e-06 9.425365171216e-01) (-3.813175516665e-03 -5.141910647698e-05 1.238790077506e-03)) ((-6.104494560590e-06 1.368114879236e+00 3.392098316192e-06) (2.684023497178e-05 -5.185285531142e-05 7.635897716021e-05))
0.15337             	((2.587898028807e-02 -1.799847471704e-06 7.634342051430e-01) (-3.590775884899e-03 -5.134206147857e-05 1.261811198878e-03)) ((-1.494350032294e-05 1.106286610849e+00 3.114701560103e-06) (2.664220042445e-05 9.815277622436e-05 7.626386421268e-05))
