# Forces            
# CofR              : (1.500000000000e+00 0.000000000000e+00 5.000000000000e-01)
# Time              forces(pressure viscous)	moments(pressure viscous)
0                   	((0.000000000000e+00 0.000000000000e+00 0.000000000000e+00) (-4.116437759344e-01 2.332256356375e-06 4.289253506091e-05)) ((0.000000000000e+00 0.000000000000e+00 0.000000000000e+00) (4.804868095673e-06 -1.788887615903e-01 6.609913591194e-02))
0.00667             	((-1.311199342762e+02 -1.543264818733e-01 -3.290026884718e+02) (-3.866195553719e-01 -8.883839858792e-02 -1.552329665781e-02)) ((-5.247260960207e+01 -5.054165408187e+02 1.218063584125e+01) (3.593232763955e-02 -1.883153638811e-01 1.825712866634e-01))
0.01334             	((7.295390220073e+01 6.870134343160e-02 2.269404211375e+02) (-2.932824166334e-01 -6.461864656372e-02 -4.253582728949e-03)) ((3.604726581538e+01 3.418923138639e+02 -7.489221063326e+00) (2.724371288809e-02 -1.325097155994e-01 1.348217506614e-01))
0.02001             	((-1.230397583862e+01 -1.080906180489e-02 -2.438550614744e+01) (-2.749943373779e-01 -6.396862831594e-02 -1.126181399237e-03)) ((-3.909227786279e+00 -3.883189085891e+01 1.334460563927e+00) (2.750842083834e-02 -1.204460595726e-01 1.310155081725e-01))
0.02668             	((-4.556203329717e+00 -9.713218110532e-03 5.108368829638e+00) (-2.854540280671e-01 -6.896102542498e-02 8.349109970541e-04)) ((7.875088343669e-01 5.096136338123e+00 2.745879014465e-01) (3.001311423390e-02 -1.223911246217e-01 1.395382955440e-01))
0.03335             	((5.146526139318e+00 2.386468780436e-03 3.900997929171e+01) (-2.794106056238e-01 -6.678157762350e-02 5.146306040314e-03)) ((6.201454345061e+00 5.555703712244e+01 -6.025865061769e-01) (2.980117904261e-02 -1.140350874196e-01 1.356899037586e-01))
0.04002             	((-1.068753602110e+00 -4.184162279148e-03 1.219507302877e+01) (-2.771162025473e-01 -6.675513513659e-02 7.917371542174e-03)) ((1.953324833645e+00 1.607778942622e+01 1.874522339757e-02) (3.026683979877e-02 -1.093528961174e-01 1.353511737313e-01))
0.04669             	((1.409970760102e-01 -3.443227971126e-03 1.939609825119e+01) (-2.758502012041e-01 -6.686887856447e-02 1.073510234182e-02)) ((3.117171345472e+00 2.644216652747e+01 -1.276285923808e-01) (3.079398735785e-02 -1.050167206567e-01 1.353596700396e-01))
0.05336             	((7.348634237811e-01 -2.761607936868e-03 2.031018566577e+01) (-2.735005265992e-01 -6.651455238981e-02 1.359117090690e-02)) ((3.279646323132e+00 2.790313470638e+01 -1.833141554117e-01) (3.111955839613e-02 -1.001300251916e-01 1.345454089858e-01))
0.06003             	((3.586940730117e-01 -3.281796902728e-03 1.785199276179e+01) (-2.717000771585e-01 -6.637046974695e-02 1.613495121436e-02)) ((2.906033498754e+00 2.431855327798e+01 -1.513875944985e-01) (3.147869237264e-02 -9.587551328604e-02 1.340943634944e-01))
0.0667              	((5.951783106605e-01 -3.189963945907e-03 1.929337348507e+01) (-2.700491494878e-01 -6.622508821218e-02 1.871683749698e-02)) ((3.152197947255e+00 2.635137360515e+01 -1.843530518746e-01) (3.183821898840e-02 -9.160965414738e-02 1.336566408014e-01))
0.07337             	((7.156238328601e-01 -3.175457854898e-03 1.814582608607e+01) (-2.684688348846e-01 -6.607950477676e-02 2.114285794158e-02)) ((2.985895943925e+00 2.478122692735e+01 -2.018718772219e-01) (3.216599133106e-02 -8.755890190670e-02 1.332220443698e-01))
0.08337             	((8.536174196620e-01 -3.266312886925e-03 1.778478688490e+01) (-2.652381339526e-01 -6.588239186054e-02 2.485704376302e-02)) ((2.956471435042e+00 2.426798155835e+01 -2.281992359050e-01) (3.266026151301e-02 -8.094370909538e-02 1.324504651114e-01))
0.09337             	((1.084383737772e+00 -3.281016121099e-03 1.771249825627e+01) (-2.635391392735e-01 -6.583613782317e-02 2.837664600627e-02)) ((2.966344726675e+00 2.419888276211e+01 -2.668558228269e-01) (3.317573521186e-02 -7.520608346085e-02 1.321212671574e-01))
0.10337             	((1.276219021481e+00 -3.302602793214e-03 1.695401417282e+01) (-2.619956099887e-01 -6.582474181944e-02 3.159828365603e-02)) ((2.866049207703e+00 2.316874681008e+01 -3.000899048741e-01) (3.364185248010e-02 -6.987780209187e-02 1.318517785283e-01))
0.11337             	((1.494310554133e+00 -3.328850284604e-03 1.685749068032e+01) (-2.605145126323e-01 -6.584742038128e-02 3.471455949065e-02)) ((2.872298333478e+00 2.305519868122e+01 -3.389523252938e-01) (3.409049193476e-02 -6.466494795188e-02 1.316254121873e-01))
0.12337             	((1.717623544447e+00 -3.345081857035e-03 1.611464215094e+01) (-2.590089722463e-01 -6.588769502993e-02 3.766499161330e-02)) ((2.774921157147e+00 2.205761333882e+01 -3.775693398590e-01) (3.450349992799e-02 -5.961349997274e-02 1.314072742650e-01))
0.13337             	((1.959422617939e+00 -3.356941781987e-03 1.594310913054e+01) (-2.574176857272e-01 -6.592417939612e-02 4.053679260031e-02)) ((2.767369414379e+00 2.185116722546e+01 -4.200291618670e-01) (3.488627570078e-02 -5.458424803804e-02 1.311599946283e-01))
0.14337             	((2.201226995819e+00 -3.364853411306e-03 1.547375169864e+01) (-2.556781799807e-01 -6.593820751645e-02 4.330347169614e-02)) ((2.711650227244e+00 2.123598040262e+01 -4.620572696082e-01) (3.522625331865e-02 -4.958841244137e-02 1.308495646068e-01))
0.15337             	((2.449960855361e+00 -3.365557698585e-03 1.510898466021e+01) (-2.537339818464e-01 -6.591223965113e-02 4.597619858190e-02)) ((2.671517257161e+00 2.076765321691e+01 -5.050354993138e-01) (3.551843745072e-02 -4.459211009966e-02 1.304434913095e-01))
0.16337             	((2.706937333825e+00 -3.364126026855e-03 1.488764151934e+01) (-2.515425225435e-01 -6.582774463862e-02 4.858440619337e-02)) ((2.653248188741e+00 2.050076045583e+01 -5.492089754124e-01) (3.576084896899e-02 -3.954258286004e-02 1.299104605470e-01))
0.17337             	((2.962790514149e+00 -3.355616768080e-03 1.457832852463e+01) (-2.490687818916e-01 -6.566436420641e-02 5.109534401379e-02)) ((2.620117657173e+00 2.011278870979e+01 -5.926535720093e-01) (3.594026910222e-02 -3.447338576290e-02 1.292186069597e-01))
0.18337             	((3.229660398708e+00 -3.338808935090e-03 1.448214195911e+01) (-2.462717335018e-01 -6.540138740172e-02 5.352650490601e-02)) ((2.619864486694e+00 2.002263933531e+01 -6.376424414277e-01) (3.605247132339e-02 -2.934976226577e-02 1.283342903937e-01))
0.19337             	((3.497679002154e+00 -3.312544049682e-03 1.437845783560e+01) (-2.431048273163e-01 -6.501888122287e-02 5.585210846240e-02)) ((2.617696304525e+00 1.992338692510e+01 -6.823173909581e-01) (3.608654904362e-02 -2.419249195694e-02 1.272242841496e-01))
0.20337             	((3.773830778605e+00 -3.273594308984e-03 1.441411793985e+01) (-2.395234187649e-01 -6.450040447277e-02 5.807692304042e-02)) ((2.636879741347e+00 2.001926323453e+01 -7.279687675887e-01) (3.603864891298e-02 -1.898469352343e-02 1.258603330341e-01))
0.21337             	((4.056702151425e+00 -3.222538884611e-03 1.454654978474e+01) (-2.354915401946e-01 -6.383362273007e-02 6.019656847825e-02)) ((2.670679380558e+00 2.025102066801e+01 -7.742894972323e-01) (3.590537757625e-02 -1.372524389686e-02 1.242212373710e-01))
0.22337             	((4.347072450535e+00 -3.156843890837e-03 1.476521119469e+01) (-2.309791665958e-01 -6.301140937805e-02 6.220238507412e-02)) ((2.717407808648e+00 2.060420533391e+01 -8.213862568396e-01) (3.568484001572e-02 -8.422117232244e-03 1.222934024055e-01))
0.23337             	((4.648088776056e+00 -3.075587074931e-03 1.512101629684e+01) (-2.259664492618e-01 -6.203033837696e-02 6.409084521090e-02)) ((2.785179030483e+00 2.114974308824e+01 -8.698664895628e-01) (3.537768014570e-02 -3.080698583234e-03 1.200695153503e-01))
0.24337             	((4.957301583601e+00 -2.978138438573e-03 1.555882209461e+01) (-2.204397591454e-01 -6.088866437017e-02 6.584681303926e-02)) ((2.865344033462e+00 2.181066085414e+01 -9.193339690024e-01) (3.498337941728e-02 2.275218470045e-03 1.175456669030e-01))
0.25337             	((5.279705868680e+00 -2.864482740986e-03 1.612505682003e+01) (-2.143842227491e-01 -5.958712412051e-02 6.745850625791e-02)) ((2.965307901314e+00 2.265252217230e+01 -9.706723538025e-01) (3.450325630339e-02 7.626301461263e-03 1.147212581819e-01))
0.26337             	((5.612317058300e+00 -2.736273524886e-03 1.678610951413e+01) (-2.078061425950e-01 -5.813395739346e-02 6.891182898750e-02)) ((3.079754030944e+00 2.362791089151e+01 -1.023485213366e+00) (3.394126597318e-02 1.294186487321e-02 1.116094273814e-01))
0.27337             	((5.955598440150e+00 -2.593612429455e-03 1.754128356546e+01) (-2.007205515371e-01 -5.653748743357e-02 7.019216590909e-02)) ((3.208556244858e+00 2.473608339315e+01 -1.077893635514e+00) (3.330134792017e-02 1.818727386054e-02 1.082254156242e-01))
0.28337             	((6.307976846191e+00 -2.438948916138e-03 1.837687066202e+01) (-1.931456180711e-01 -5.481093328313e-02 7.128376115552e-02)) ((3.349638539736e+00 2.595758844111e+01 -1.133773718056e+00) (3.258904134527e-02 2.332540291795e-02 1.045917830334e-01))
0.29337             	((6.666756046549e+00 -2.275411327472e-03 1.927251649038e+01) (-1.850872766588e-01 -5.296397820585e-02 7.216729413738e-02)) ((3.499681013307e+00 2.726407035799e+01 -1.190722393084e+00) (3.180773361399e-02 2.831968777681e-02 1.007246486437e-01))
0.30337             	((7.029934002817e+00 -2.105326414013e-03 2.022097931999e+01) (-1.765490590968e-01 -5.100317094772e-02 7.282595767284e-02)) ((3.657467906924e+00 2.864556017593e+01 -1.248509451393e+00) (3.095989110663e-02 3.313738631910e-02 9.663571930136e-02))
0.31337             	((7.393090096945e+00 -1.928544057104e-03 2.119693902992e+01) (-1.675527063060e-01 -4.893297471774e-02 7.323743690234e-02)) ((3.818832425333e+00 3.006677617814e+01 -1.306442138247e+00) (3.004635605162e-02 3.773229551504e-02 9.233637856170e-02))
0.32337             	((7.749606725754e+00 -1.750440107567e-03 2.217421669208e+01) (-1.581296593556e-01 -4.675543527122e-02 7.338674009176e-02)) ((3.979556761616e+00 3.149047664556e+01 -1.363556925662e+00) (2.906813086333e-02 4.206426569142e-02 8.783615797910e-02))
0.33337             	((8.093071872164e+00 -1.574642688413e-03 2.312741532689e+01) (-1.483217342373e-01 -4.447725219528e-02 7.325817535748e-02)) ((4.135384084761e+00 3.288105361512e+01 -1.418813793611e+00) (2.802764916259e-02 4.608966744947e-02 8.315098273420e-02))
0.34337             	((8.416598850604e+00 -1.408034396144e-03 2.402924802994e+01) (-1.381801576257e-01 -4.210927371249e-02 7.283331233206e-02)) ((4.281662705208e+00 3.420023116000e+01 -1.471088539778e+00) (2.692810365488e-02 4.975937604920e-02 7.830338188832e-02))
0.35337             	((8.712388083305e+00 -1.258117035134e-03 2.485558826937e+01) (-1.277625341490e-01 -3.966543221514e-02 7.211020306618e-02)) ((4.414476954408e+00 3.541386161524e+01 -1.519119342159e+00) (2.577573687506e-02 5.304427930349e-02 7.332044487276e-02))
0.36337             	((8.971790590070e+00 -1.135183002639e-03 2.557581870875e+01) (-1.171589940128e-01 -3.716122778152e-02 7.108841980862e-02)) ((4.528712345259e+00 3.647835244634e+01 -1.561490568653e+00) (2.457767368649e-02 5.590833865656e-02 6.823600089911e-02))
0.37337             	((9.187198945953e+00 -1.046651956184e-03 2.616442569014e+01) (-1.064485056598e-01 -3.461843727218e-02 6.979034326193e-02)) ((4.620159008014e+00 3.735755526115e+01 -1.596922636597e+00) (2.334565200598e-02 5.834986938947e-02 6.308976306128e-02))
0.38337             	((9.349160848988e+00 -9.988090378238e-04 2.659713670448e+01) (-9.564767398639e-02 -3.203749452944e-02 6.819787819413e-02)) ((4.684898259635e+00 3.801635850299e+01 -1.623814208359e+00) (2.207806346838e-02 6.033753036426e-02 5.788389396920e-02))
